STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
CONNECTICUT,CHRISTOPHER ROSARIO,STATE HOUSE,128,39184.27
CONNECTICUT,JOSEPH DE LA CRUZ,STATE HOUSE,41,35386.16
CONNECTICUT,MIKE FRANCE,STATE HOUSE,42,37316.03
CONNECTICUT,RONALD NAPOLI,STATE HOUSE,73,13043.690000000002
CONNECTICUT,LUCY DATHAN,STATE HOUSE,142,34161.46
CONNECTICUT,KATHY KENNEDY,STATE HOUSE,119,563.21
CONNECTICUT,JOSEPH H. ZULLO,STATE HOUSE,99,20683.25
CONNECTICUT,SAUD ANWAR,STATE SENATE,3,134337.28
CONNECTICUT,JOSHUA ELLIOTT,STATE HOUSE,88,35564.2
CONNECTICUT,NICOLE KLARIDES-DITRIA,STATE HOUSE,105,0.0
CONNECTICUT,GREGORY HADDAD,STATE HOUSE,54,16105.19
CONNECTICUT,DOUGLAS MCCRORY,STATE SENATE,2,25262.0
CONNECTICUT,LARRY B. BUTLER,STATE HOUSE,72,36262.02
CONNECTICUT,JEFFREY CURREY,STATE HOUSE,11,35949.969999999994
CONNECTICUT,JOHN KENNEDY HAMPTON,STATE HOUSE,16,12701.51
CONNECTICUT,GARY A. WINFIELD,STATE SENATE,10,123850.86999999998
CONNECTICUT,CHRISTINE PALM,STATE HOUSE,36,35570.270000000004
CONNECTICUT,MICHAEL DIMASSA,STATE HOUSE,116,683.24
CONNECTICUT,GREG HOWARD,STATE HOUSE,43,37120.02
CONNECTICUT,JILL BARRY,STATE HOUSE,31,36279.630000000005
CONNECTICUT,JAY M. CASE,STATE HOUSE,63,0.0
CONNECTICUT,GARY TURCO,STATE HOUSE,27,36422.27
CONNECTICUT,DAVID K. LABRIOLA,STATE HOUSE,131,4432.21
CONNECTICUT,TONI EDMONDS WALKER,STATE HOUSE,93,0.0
CONNECTICUT,DORINDA BORER,STATE HOUSE,115,13177.77
CONNECTICUT,DANIEL J. FOX,STATE HOUSE,148,4245.03
CONNECTICUT,BRIAN T. SMITH,STATE HOUSE,48,61027.18000000001
CONNECTICUT,HENRY J. GENGA,STATE HOUSE,10,0.0
CONNECTICUT,TOM DELNICKI,STATE HOUSE,14,37021.880000000005
CONNECTICUT,ROSA C. REBIMBAS,STATE HOUSE,70,37535.03
CONNECTICUT,QUENTIN PHIPPS,STATE HOUSE,100,31487.709999999995
CONNECTICUT,JASON ROJAS,STATE HOUSE,9,40007.09
CONNECTICUT,ANTHONY SCOTT,STATE HOUSE,112,26007.910000000003
CONNECTICUT,CHRISTOPHER ZIOGAS,STATE HOUSE,79,34638.19
CONNECTICUT,VINCENT J. CANDELORA,STATE HOUSE,86,36937.23
CONNECTICUT,JORGE CABRERA,STATE SENATE,17,1662.76
CONNECTICUT,PETER A. TERCYAK,STATE HOUSE,26,38684.100000000006
CONNECTICUT,GALE MASTROFRANCESCO,STATE HOUSE,80,36765.02
CONNECTICUT,ALPHONSE PAOLILLO,STATE HOUSE,97,0.0
CONNECTICUT,WILLIAM A. PETIT,STATE HOUSE,22,5504.52
CONNECTICUT,MARY DAUGHERTY ABRAMS,STATE SENATE,13,119350.66
CONNECTICUT,JOHN F. HENNESSY,STATE HOUSE,127,37659.0
CONNECTICUT,CAROLINE B. SIMMONS,STATE HOUSE,144,40101.380000000005
CONNECTICUT,ROBERT C. SANCHEZ,STATE HOUSE,25,36476.6
CONNECTICUT,JULIO A. CONCEPCION,STATE HOUSE,4,14951.73
CONNECTICUT,THOMAS ARNONE,STATE HOUSE,58,36893.54
CONNECTICUT,ALEXANDRA KASSER,STATE SENATE,36,633.0500000000002
CONNECTICUT,CHRISTINE COHEN,STATE SENATE,12,2350.09
CONNECTICUT,JOE POLLETTA,STATE HOUSE,68,0.0
CONNECTICUT,CRAIG A. MINER,STATE SENATE,30,0.0
CONNECTICUT,BOBBY GIBSON,STATE HOUSE,15,36742.15
CONNECTICUT,JAIME FOSTER,STATE HOUSE,57,35884.13999999999
CONNECTICUT,RICHARD LOPES,STATE SENATE,6,206837.47
CONNECTICUT,ERIC C. BERTHEL,STATE SENATE,32,109373.82
CONNECTICUT,TONY HWANG,STATE SENATE,28,0.0
CONNECTICUT,JOHN E. PISCOPO,STATE HOUSE,76,43244.4
CONNECTICUT,JOHN-MICHAEL PARKER,STATE HOUSE,101,37412.27
CONNECTICUT,MARY WELANDER,STATE HOUSE,114,35793.090000000004
CONNECTICUT,TAMI ZAWISTOWSKI,STATE HOUSE,61,34749.15
CONNECTICUT,MATTHEW L. LESSER,STATE SENATE,9,0.0
CONNECTICUT,BOB DUFF,STATE SENATE,25,122677.62
