STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
OHIO,CATHERINE D. INGRAM,STATE HOUSE,32,56866.34
OHIO,NATHAN H. MANNING,STATE SENATE,13,292715.02999999997
OHIO,JANINE R. BOYD,STATE HOUSE,9,34706.26
OHIO,LAURA LANESE,STATE HOUSE,23,0.0
OHIO,HEARCEL F. CRAIG,STATE SENATE,15,148033.29
OHIO,JOE MILLER,STATE HOUSE,56,51396.02
OHIO,MICHELE LEPORE-HAGAN,STATE HOUSE,58,55461.29000000001
OHIO,SANDRA O'BRIEN,STATE SENATE,32,0.0
OHIO,SARA P. CARRUTHERS,STATE HOUSE,51,57893.119999999995
OHIO,STEVE WILSON,STATE SENATE,7,477038.79
OHIO,SCOTT OELSLAGER,STATE HOUSE,48,276855.30000000005
OHIO,BILL ROEMER,STATE HOUSE,38,58151.170000000006
OHIO,CASEY WEINSTEIN,STATE HOUSE,37,333850.92
OHIO,DEREK MERRIN,STATE HOUSE,47,185237.37
OHIO,JERRY CIRINO,STATE SENATE,18,277020.08999999997
OHIO,CECIL THOMAS,STATE SENATE,9,78501.65
OHIO,CRAIG S. RIEDEL,STATE HOUSE,82,190957.34
OHIO,TIMOTHY O. SCHAFFER,STATE SENATE,20,148115.21999999997
OHIO,THERESA A. GAVARONE,STATE SENATE,2,420643.93
OHIO,PHILLIP ROBINSON,STATE HOUSE,6,208013.78999999998
OHIO,SARAH E. FOWLER ARTHUR,STATE HOUSE,99,50302.950000000004
OHIO,THOMAS E. BRINKMAN,STATE HOUSE,27,289981.1
OHIO,DONTAVIUS JARRELLS,STATE HOUSE,25,72952.47
OHIO,DON JONES,STATE HOUSE,95,127826.09999999999
OHIO,MIKE LOYCHIK,STATE HOUSE,63,110087.38
OHIO,PAULA HICKS-HUDSON,STATE HOUSE,44,23389.730000000003
OHIO,TRACY RICHARDSON,STATE HOUSE,86,71491.12
OHIO,MICHAEL J. O'BRIEN,STATE HOUSE,64,51996.61
OHIO,NINO VITALE,STATE HOUSE,85,48346.07
OHIO,WILLIAM J. SEITZ,STATE HOUSE,30,505758.39
OHIO,MARK D. FRAIZER,STATE HOUSE,71,112968.47
OHIO,JASON C. STEPHENS,STATE HOUSE,93,87746.17
OHIO,KENNY YUKO,STATE SENATE,25,362105.57999999996
OHIO,THOMAS F. PATTON,STATE HOUSE,7,776899.87
OHIO,SHANE WILKIN,STATE HOUSE,91,176619.28000000003
OHIO,ADAM C. BIRD,STATE HOUSE,66,27768.050000000003
OHIO,TERRY A. JOHNSON,STATE SENATE,14,171018.27000000002
OHIO,SHARON A. RAY,STATE HOUSE,69,52336.020000000004
OHIO,DJ SWEARINGEN,STATE HOUSE,89,330582.44999999995
OHIO,MONIQUE SMITH,STATE HOUSE,16,236669.59000000003
OHIO,JON A. HUSTED,LIEUTENANT GOVERNOR,,27875664.68
