STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
TEXAS,BRAD BUCKLEY,STATE HOUSE,54,543207.7400000001
TEXAS,ALEX DOMINGUEZ,STATE HOUSE,37,0.0
TEXAS,ANA E. HERNANDEZ,STATE HOUSE,143,68173.29999999999
TEXAS,JOSEPH E. MOODY,STATE HOUSE,78,257330.44
TEXAS,JANE GRAY NELSON,STATE SENATE,12,1599740.39
TEXAS,WALTER PRICE,STATE HOUSE,87,873222.72
TEXAS,COLE HEFNER,STATE HOUSE,5,167632.6
TEXAS,MARY ANN PEREZ,STATE HOUSE,144,145388.08999999997
TEXAS,TERRY M. WILSON,STATE HOUSE,20,81588.11000000002
TEXAS,TERRY CANALES,STATE HOUSE,40,202823.16999999998
TEXAS,JOHN L. KUEMPEL,STATE HOUSE,44,924499.26
TEXAS,BOB HALL,STATE SENATE,2,1412043.19
TEXAS,BORRIS L. MILES,STATE SENATE,13,421296.92
TEXAS,EDUARDO LUCIO,STATE SENATE,27,629401.6599999999
TEXAS,MICHELLE BECKLEY,STATE HOUSE,65,722392.4299999999
TEXAS,CODY HARRIS,STATE HOUSE,8,171784.4
TEXAS,RONALD REYNOLDS,STATE HOUSE,27,46926.25
TEXAS,PAUL BETTENCOURT,STATE SENATE,7,0.0
TEXAS,KEN KING,STATE HOUSE,88,252935.77000000002
TEXAS,JARVIS D. JOHNSON,STATE HOUSE,139,46055.78
TEXAS,EDDIE R. RODRIGUEZ,STATE HOUSE,51,0.0
TEXAS,HUBERT VO,STATE HOUSE,149,147025.8
TEXAS,MARY EDNA GONZALEZ,STATE HOUSE,75,116423.38999999998
TEXAS,JOHN WHITMIRE,STATE SENATE,15,0.0
TEXAS,LYLE T. LARSON,STATE HOUSE,122,321859.70999999996
TEXAS,SCOTT SANFORD,STATE HOUSE,70,170023.55
TEXAS,RYAN GUILLÉN,STATE HOUSE,31,305007.49
TEXAS,PHILIP A. CORTEZ,STATE HOUSE,117,196746.61000000002
TEXAS,BRANDON CREIGHTON,STATE SENATE,4,673765.39
TEXAS,ART FIERRO,STATE HOUSE,79,165159.5
TEXAS,RHETTA ANDREWS BOWERS,STATE HOUSE,113,760118.37
TEXAS,JASMINE FELICIA CROCKETT,STATE HOUSE,100,6654.990000000001
TEXAS,ARMANDO LUCIO WALLE,STATE HOUSE,140,150418.72999999998
TEXAS,JOE DWAIN DESHOTEL,STATE HOUSE,22,203231.63
TEXAS,SERGIO MUNOZ,STATE HOUSE,36,214609.31999999998
TEXAS,PHILLIP WAYNE STEPHENSON,STATE HOUSE,85,189901.28999999998
TEXAS,ELIZABETH CAMPOS,STATE HOUSE,119,216940.51
