STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
NEW MEXICO,RANDALL T. PETTIGREW,STATE HOUSE,61,21941.910000000003
NEW MEXICO,JAMES G. TOWNSEND,STATE HOUSE,54,42002.99
NEW MEXICO,ANDREA D. ROMERO,STATE HOUSE,46,7875.4
NEW MEXICO,LINDA M. LOPEZ,STATE SENATE,11,13068.07
NEW MEXICO,MELANIE ANN STANSBURY,STATE HOUSE,28,31760.42
NEW MEXICO,DOREEN WONDA JOHNSON,STATE HOUSE,5,2262.56
NEW MEXICO,TARA LUJAN,STATE HOUSE,48,0.0
NEW MEXICO,SUSAN K. HERRERA,STATE HOUSE,41,16614.68
NEW MEXICO,SIAH CORREA HEMPHILL,STATE SENATE,28,99218.25
NEW MEXICO,ROBERTO JESSE GONZALES,STATE SENATE,6,18771.7
NEW MEXICO,SHANNON D. PINTO,STATE SENATE,3,5668.42
NEW MEXICO,JEFF STEINBORN,STATE SENATE,36,9704.86
NEW MEXICO,CATHRYNN N. BROWN,STATE HOUSE,55,7136.050000000001
NEW MEXICO,REBECCA L. DOW,STATE HOUSE,38,55408.66
NEW MEXICO,MICHELLE LUJAN GRISHAM,GOVERNOR,,8963251.87
NEW MEXICO,JACK O. CHATFIELD,STATE HOUSE,67,12299.51
NEW MEXICO,DEBORAH A. ARMSTRONG,STATE HOUSE,17,44469.21
NEW MEXICO,MARTIN RUBEN ZAMORA,STATE HOUSE,63,14083.31
NEW MEXICO,DERRICK J. LENTE,STATE HOUSE,65,35394.87
NEW MEXICO,JANE E. POWDRELL-CULBERT,STATE HOUSE,44,37455.21
NEW MEXICO,KAREN C. BASH,STATE HOUSE,68,26229.82
NEW MEXICO,DANIEL A. IVEY-SOTO,STATE SENATE,15,4910.88
NEW MEXICO,MEREDITH A. DIXON,STATE HOUSE,20,19833.760000000002
NEW MEXICO,PATRICIA A. ROYBAL CABALLERO,STATE HOUSE,13,37897.99
NEW MEXICO,JOSEPH CERVANTES,STATE SENATE,31,37055.50000000001
NEW MEXICO,LEO JARAMILLO,STATE SENATE,5,25203.219999999998
NEW MEXICO,JOSHUA A. SANCHEZ,STATE SENATE,30,6309.06
NEW MEXICO,GAIL CHASEY,STATE HOUSE,18,33252.86
NEW MEXICO,DEBRA MARIE SARINANA,STATE HOUSE,21,6269.8099999999995
NEW MEXICO,DAVID M. GALLEGOS,STATE SENATE,41,112094.02
NEW MEXICO,CRYSTAL R. DIAMOND,STATE SENATE,35,968.86
NEW MEXICO,WILLIAM F. BURT,STATE SENATE,33,13156.43
NEW MEXICO,ELISEO LEE ALCON,STATE HOUSE,6,37988.91
NEW MEXICO,RANDAL S. CROWDER,STATE HOUSE,64,21375.16
