STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
GEORGIA,CLINT DIXON,STATE SENATE,45,238560.33000000002
GEORGIA,TERI ANULEWICZ,STATE HOUSE,42,53100.33
GEORGIA,ROBERT DICKEY,STATE HOUSE,140,32751.9
GEORGIA,GINNY EHRHART,STATE HOUSE,36,6632.99
GEORGIA,CAROLYN F. HUGLEY,STATE HOUSE,136,39104.399999999994
GEORGIA,BARRY A. FLEMING,STATE HOUSE,121,110368.15999999999
GEORGIA,JAMES BURCHETT,STATE HOUSE,176,46107.11
GEORGIA,KIM SCHOFIELD,STATE HOUSE,60,3794216.6599999997
GEORGIA,DEBBIE G. BUCKNER,STATE HOUSE,137,21190.0
GEORGIA,JAN JONES,STATE HOUSE,47,247688.64999999997
GEORGIA,LARRY WALKER,STATE SENATE,20,215278.83
GEORGIA,KARLA LEA DRENNER,STATE HOUSE,85,3794216.6599999997
GEORGIA,MARY FRANCES WILLIAMS,STATE HOUSE,37,213022.47999999998
GEORGIA,MITCHELL SCOGGINS,STATE HOUSE,14,7060.21
GEORGIA,BRIAN L. PRINCE,STATE HOUSE,127,3794216.6599999997
GEORGIA,SUSAN HOLMES,STATE HOUSE,129,48926.8
GEORGIA,BRIAN P. KEMP,GOVERNOR,,21044610.67
GEORGIA,DON L. PARSONS,STATE HOUSE,44,76901.45
GEORGIA,CECIL TERRELL MILLER,STATE SENATE,49,752646.15
GEORGIA,RICK JASPERSE,STATE HOUSE,11,66803.81999999999
GEORGIA,MATT BARTON,STATE HOUSE,5,1832.99
GEORGIA,MARVIN LIM,STATE HOUSE,99,59677.15
GEORGIA,RICHARD H. SMITH,STATE HOUSE,134,293780.67000000004
GEORGIA,JAN TANKERSLEY,STATE HOUSE,160,27531.620000000003
GEORGIA,JOSEPH GULLETT,STATE HOUSE,19,31417.27
GEORGIA,THOMAS HATCHETT,STATE SENATE,50,213801.96000000002
GEORGIA,JOSH MCLAURIN,STATE HOUSE,51,81561.47
GEORGIA,THOMAS BENTON,STATE HOUSE,31,42591.53
GEORGIA,MATT HATCHETT,STATE HOUSE,150,202535.90999999997
GEORGIA,BRUCE THOMPSON,STATE SENATE,14,3794216.6599999997
GEORGIA,CHUCK HUFSTETLER,STATE SENATE,52,76655.92
GEORGIA,CHRIS ERWIN,STATE HOUSE,28,177840.8
GEORGIA,MACK JACKSON,STATE HOUSE,128,24350.38
GEORGIA,MATTHEW GAMBILL,STATE HOUSE,15,36992.97
GEORGIA,DOREEN ROBERSON CARTER,STATE HOUSE,92,4040.88
GEORGIA,GERALD E. GREENE,STATE HOUSE,151,163201.08000000002
GEORGIA,BILL COWSERT,STATE SENATE,46,131253.68
GEORGIA,MARIE ROBINSON METZE,STATE HOUSE,55,8272.0
GEORGIA,YASMIN NEAL,STATE HOUSE,74,3794216.6599999997
GEORGIA,MICHAEL A. RHETT,STATE SENATE,33,5100.0
