STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
MAINE,LORI KATHRYN GRAMLICH,STATE HOUSE,13,10754.73
MAINE,MICHAEL A. SYLVESTER,STATE HOUSE,39,0.0
MAINE,PETER A. LYFORD,STATE HOUSE,129,2067.3599999999997
MAINE,STACY FIELDING BRENNER,STATE SENATE,30,68508.65000000001
MAINE,TIMOTHY S. THERIAULT,STATE HOUSE,79,827.27
MAINE,BRUCE A. WHITE,STATE HOUSE,109,17298.810000000005
MAINE,MICHELLE ANN DUNPHY,STATE HOUSE,122,6581.74
MAINE,THOMAS A. HARNETT,STATE HOUSE,83,10738.59
MAINE,ELOISE A. VITELLI,STATE SENATE,23,63396.62
MAINE,BENJAMIN M. CHIPMAN,STATE SENATE,27,6990.93
MAINE,PATRICK W. COREY,STATE HOUSE,25,2112.249999999999
MAINE,JEFFREY P. HANLEY,STATE HOUSE,87,1002.02
MAINE,MORGAN J. RIELLY,STATE HOUSE,34,2109.28
MAINE,WILLIAM R. TUELL,STATE HOUSE,139,0.0
MAINE,RICHARD G. MASON,STATE HOUSE,56,10498.42
MAINE,CHAD WAYNE GRIGNON,STATE HOUSE,118,1400.0
MAINE,BRUCE A. BICKFORD,STATE HOUSE,63,5703.95
MAINE,KEVIN JM O'CONNELL,STATE HOUSE,128,7261.29
MAINE,JAMES F. DILL,STATE SENATE,5,54599.36
MAINE,PATRICIA HYMANSON,STATE HOUSE,4,7120.8
MAINE,WALTER N. RISEMAN,STATE HOUSE,69,0.0
MAINE,JENNIFER LYNN POIRIER,STATE HOUSE,107,4529.79
MAINE,KATHY I. JAVNER,STATE HOUSE,141,6003.25
MAINE,JOSANNE C. DOLLOFF,STATE HOUSE,115,6757.48
MAINE,KRISTEN S. CLOUTIER,STATE HOUSE,60,8110.93
MAINE,MICHELE MEYER,STATE HOUSE,2,14725.470000000001
MAINE,JOYCE E. MCCREIGHT,STATE HOUSE,51,12642.48
MAINE,MICHAEL F. BRENNAN,STATE HOUSE,36,0.0
MAINE,DENISE ANNE TEPLER,STATE HOUSE,54,11042.789999999999
MAINE,TIFFANY D. ROBERTS,STATE HOUSE,6,13276.62
MAINE,PEGGY JO STANLEY,STATE HOUSE,143,1193.04
MAINE,TRACI GERE,STATE HOUSE,9,19516.12
MAINE,CATHERINE E. BREEN,STATE SENATE,25,22775.300000000003
MAINE,HEIDI E. BROOKS,STATE HOUSE,61,1033.39
MAINE,LYNN COPELAND,STATE HOUSE,14,8682.48
MAINE,PAUL A. STEARNS,STATE HOUSE,119,9740.3
MAINE,CHRISTOPHER J. KESSLER,STATE HOUSE,32,1338.59
MAINE,JOSEPH M. BALDACCI,STATE SENATE,9,58560.31
MAINE,VICTORIA E. MORALES,STATE HOUSE,33,8218.44
MAINE,KATHLEEN ROSE JACKSON DILLINGHAM,STATE HOUSE,72,6309.03
MAINE,JOEL R. STETKIS,STATE HOUSE,105,4913.32
MAINE,NATHAN L. LIBBY,STATE SENATE,21,318.82
MAINE,GLENN E. CURRY,STATE SENATE,11,71510.20000000001
MAINE,LISA M. KEIM,STATE SENATE,18,0.0
MAINE,SUZANNE M. SALISBURY,STATE HOUSE,35,1802.11
MAINE,TROY DALE JACKSON,STATE SENATE,1,68615.91
MAINE,JOHN E. DUCHARME,STATE HOUSE,111,6081.5199999999995
MAINE,SAMUEL LEWIS ZAGER,STATE HOUSE,41,5021.27
MAINE,JEFFERY ALLEN GIFFORD,STATE HOUSE,142,3382.3900000000003
MAINE,STANLEY PAIGE ZEIGLER,STATE HOUSE,96,14832.84
MAINE,KYLE R. BAILEY,STATE HOUSE,27,21552.47
MAINE,JOSEPH C. PERRY,STATE HOUSE,124,7798.99
MAINE,ERIN SHEEHAN,STATE HOUSE,12,5930.3
MAINE,WAYNE R. PARRY,STATE HOUSE,10,0.0
MAINE,KATHY L. DOWNES,STATE HOUSE,130,6976.620000000001
MAINE,CHRIS A. JOHANSEN,STATE HOUSE,145,0.0
MAINE,HAROLD L. STEWART,STATE SENATE,2,0.0
MAINE,SEAN C. PAULHUS,STATE HOUSE,52,12447.71
MAINE,STACEY K. GUERIN,STATE SENATE,10,12403.8
MAINE,KRISTI MICHELE MATHIESON,STATE HOUSE,1,8312.82
MAINE,LAURA SUPICA,STATE HOUSE,126,6325.11
MAINE,LAURIE OSHER,STATE HOUSE,123,16324.56
MAINE,DONNA R. DOORE,STATE HOUSE,85,6566.37
MAINE,ALLISON L. HEPLER,STATE HOUSE,53,16428.189999999995
MAINE,NATHAN MICHAEL CARLOW,STATE HOUSE,16,7793.17
MAINE,KIMBERLEY C. ROSEN,STATE SENATE,8,21020.4
MAINE,RICHARD T. BRADSTREET,STATE HOUSE,80,8476.14
MAINE,MARYANNE KINNEY,STATE HOUSE,99,8327.54
MAINE,MELANIE F. SACHS,STATE HOUSE,48,14067.81
MAINE,HEIDI H. SAMPSON,STATE HOUSE,21,928.48
MAINE,W. EDWARD CROCKETT,STATE HOUSE,43,8433.75
MAINE,RACHEL TALBOT ROSS,STATE HOUSE,40,1.98
MAINE,JOSEPH F. UNDERWOOD,STATE HOUSE,147,7827.82
MAINE,DUSTIN MICHAEL WHITE,STATE HOUSE,146,5214.610000000001
MAINE,DAVID WOODSOME,STATE SENATE,33,0.0
