STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
NEW YORK,CHANTEL JACKSON,STATE ASSEMBLY,79,49711.31
NEW YORK,JOSE RIVERA,STATE ASSEMBLY,78,10322.060000000001
NEW YORK,CARMEN N. DE LA ROSA,STATE ASSEMBLY,72,0.0
NEW YORK,SIMCHA FELDER,STATE SENATE,17,113232.5
NEW YORK,JODI GIGLIO,STATE ASSEMBLY,2,105624.60999999999
NEW YORK,D. BILLY JONES,STATE ASSEMBLY,115,57862.07
NEW YORK,JAMES SANDERS,STATE SENATE,10,101106.49000000002
NEW YORK,ANDREW J. LANZA,STATE SENATE,24,148933.73
NEW YORK,GUSTAVO RIVERA,STATE SENATE,33,401808.5
NEW YORK,MARK C. WALCZYK,STATE ASSEMBLY,116,72448.89
NEW YORK,MARIO R. MATTERA,STATE SENATE,2,64051.23000000001
NEW YORK,MICHAEL R. BENEDETTO,STATE ASSEMBLY,82,194513.01
NEW YORK,STEVEN OTIS,STATE ASSEMBLY,91,178126.94
NEW YORK,WILLIAM COLTON,STATE ASSEMBLY,47,130328.06
NEW YORK,CARRIE WOERNER,STATE ASSEMBLY,113,507069.67999999993
NEW YORK,THOMAS F. O'MARA,STATE SENATE,58,0.0
NEW YORK,N. NICK PERRY,STATE ASSEMBLY,58,112175.58
NEW YORK,BRAD M. HOYLMAN,STATE SENATE,27,454755.64999999997
NEW YORK,HARVEY EPSTEIN,STATE ASSEMBLY,74,7629.3
NEW YORK,AILEEN M. GUNTHER,STATE ASSEMBLY,100,95491.26000000001
NEW YORK,KENNETH P. ZEBROWSKI,STATE ASSEMBLY,96,0.0
NEW YORK,PHILLIP G. STECK,STATE ASSEMBLY,110,36957.57000000001
NEW YORK,RODNEYSE BICHOTTE HERMELYN,STATE ASSEMBLY,42,0.0
NEW YORK,BRIAN P. KAVANAGH,STATE SENATE,26,11509.09
NEW YORK,BRIAN BARNWELL,STATE ASSEMBLY,30,16837.52
NEW YORK,FRED W. THIELE,STATE ASSEMBLY,1,16755.010000000002
