STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
ALABAMA,C. MAC MCCUTCHEON,STATE HOUSE,25,154843.59000000003
ALABAMA,BERRY FORTE,STATE HOUSE,84,22042.559999999998
ALABAMA,B. CRAIG LIPSCOMB,STATE HOUSE,30,154348.22
ALABAMA,LAURA HALL,STATE HOUSE,19,102035.05
ALABAMA,E. RICHARD DRAKE,STATE HOUSE,45,232599.56000000003
ALABAMA,NAPOLEON BRACY,STATE HOUSE,98,47812.2
ALABAMA,ANTHONY DANIELS,STATE HOUSE,53,127623.46
ALABAMA,GIL F. ISBELL,STATE HOUSE,28,97383.32999999999
ALABAMA,RANDALL SHEDD,STATE HOUSE,11,46363.6
ALABAMA,JOE FAUST,STATE HOUSE,94,121067.72999999998
ALABAMA,KYLE SOUTH,STATE HOUSE,16,121612.11
ALABAMA,CHRISTOPHER JOHN ENGLAND,STATE HOUSE,70,26930.679999999997
ALABAMA,VICTOR GASTON,STATE HOUSE,100,27075.69
ALABAMA,RITCHIE WHORTON,STATE HOUSE,22,73988.14
ALABAMA,DEBBIE HAMBY WOOD,STATE HOUSE,38,188162.28
ALABAMA,JAMES T. HANES,STATE HOUSE,23,87889.98
ALABAMA,TIM WADSWORTH,STATE HOUSE,14,90089.23000000001
ALABAMA,CHARLOTTE MEADOWS,STATE HOUSE,74,129377.34
ALABAMA,BEN ROBBINS,STATE HOUSE,33,23467.75
ALABAMA,GREG J. REED,STATE SENATE,5,154479.55
ALABAMA,TIMOTHY I. MELSON,STATE SENATE,1,308377.55999999994
ALABAMA,DAVID STANDRIDGE,STATE HOUSE,34,13364.69
ALABAMA,BRETT EASTERBROOK,STATE HOUSE,65,84992.22
ALABAMA,BARBARA DRUMMOND,STATE HOUSE,103,19793.11
ALABAMA,CHIP BROWN,STATE HOUSE,105,72178.87
ALABAMA,GERALD ALLEN,STATE SENATE,21,227004.65
ALABAMA,ADLINE CECELIA CLARKE,STATE HOUSE,97,69457.24
ALABAMA,WILL DISMUKES,STATE HOUSE,88,109316.69
ALABAMA,GARLAN GUDGER,STATE SENATE,4,472374.32999999996
ALABAMA,GREG ALBRITTON,STATE SENATE,22,77095.01000000001
ALABAMA,JEREMY GRAY,STATE HOUSE,83,65223.19
