STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
IOWA,JON THORUP,STATE HOUSE,28,13289.189999999999
IOWA,PHIL THOMPSON,STATE HOUSE,47,56787.9
IOWA,DAN DAWSON,STATE SENATE,8,198437.49
IOWA,NATE BOULTON,STATE SENATE,16,67457.79
IOWA,JACLYN SMITH,STATE SENATE,7,63911.5
IOWA,TOM SHIPLEY,STATE SENATE,11,61347.66
IOWA,JANE E. BLOOMINGDALE,STATE HOUSE,51,89417.49000000002
IOWA,CECIL A. DOLECHECK,STATE HOUSE,24,8005.22
IOWA,MARK COSTELLO,STATE SENATE,12,63768.18000000001
IOWA,JULIAN B. GARRETT,STATE SENATE,13,0.0
IOWA,JOHN FORBES,STATE HOUSE,40,76645.94999999998
IOWA,ERIC GJERDE,STATE HOUSE,67,360908.23000000004
IOWA,BOB M. KRESSIG,STATE HOUSE,59,46681.71
IOWA,SHARON S. STECKMAN,STATE HOUSE,53,51361.63
IOWA,DAVID KERR,STATE HOUSE,88,42976.450000000004
IOWA,THOMAS GERHOLD,STATE HOUSE,75,19725.25
IOWA,SKYLER WHEELER,STATE HOUSE,4,22801.11
IOWA,WILLIAM A. DOTZLER,STATE SENATE,31,68336.93999999999
IOWA,ROBY SMITH,STATE SENATE,47,321696.05000000005
IOWA,JARAD KLEIN,STATE HOUSE,78,0.0
IOWA,RAY BUBBA SORENSEN,STATE HOUSE,20,0.0
IOWA,ANNE OSMUNDSON,STATE HOUSE,56,66665.09
IOWA,MICHAEL BERGAN,STATE HOUSE,55,64573.729999999996
IOWA,AMY NIELSEN,STATE HOUSE,77,54877.81
IOWA,JO OLDSON,STATE HOUSE,41,132178.25
IOWA,PHYLLIS THEDE,STATE HOUSE,93,26483.32
IOWA,TODD E. TAYLOR,STATE SENATE,35,32077.07
IOWA,CHAD INGELS,STATE HOUSE,64,26724.449999999997
IOWA,MARK CISNEROS,STATE HOUSE,91,41215.020000000004
IOWA,CHRISTOPHER C. HALL,STATE HOUSE,13,94542.76000000001
IOWA,JON JACOBSEN,STATE HOUSE,22,53126.29000000001
IOWA,ZACHARY WHITING,STATE SENATE,1,33604.51
IOWA,JACOB BOSSMAN,STATE HOUSE,6,100272.43999999999
IOWA,BOBBY KAUFMANN,STATE HOUSE,73,313174.63
IOWA,DENNIS BUSH,STATE HOUSE,3,8350.43
IOWA,KRISTIN SUNDE,STATE HOUSE,42,71587.09999999999
IOWA,DUSTIN D. HITE,STATE HOUSE,79,82308.51000000001
IOWA,JAKE CHAPMAN,STATE SENATE,10,366319.13
IOWA,DAVE WILLIAMS,STATE HOUSE,60,95095.12999999999
IOWA,DAN ZUMBACH,STATE SENATE,48,118925.2
IOWA,BRUCE L. HUNTER,STATE HOUSE,34,29794.08
IOWA,PAM JOCHUM,STATE SENATE,50,95379.00000000001
IOWA,CHRISTINA BOHANNAN,STATE HOUSE,85,42290.62
IOWA,JESSE GREEN,STATE SENATE,24,72614.28
IOWA,ADRIAN J. DICKEY,STATE SENATE,41,0.0
IOWA,THOMAS JENEARY,STATE HOUSE,5,23698.85
IOWA,J. BRENT SIEGRIST,STATE HOUSE,16,59031.740000000005
IOWA,ART STAED,STATE HOUSE,66,0.0
IOWA,DAVE DEYOE,STATE HOUSE,49,26669.27
IOWA,TRACY EHLERT,STATE HOUSE,70,12029.119999999999
IOWA,RAS SMITH,STATE HOUSE,62,17725.109999999997
IOWA,JENNIFER KONFRST,STATE HOUSE,43,84724.42
IOWA,AKO ABDUL-SAMAD,STATE HOUSE,35,11040.72
IOWA,LINDSAY JAMES,STATE HOUSE,99,76569.51999999999
IOWA,JEFF SHIPLEY,STATE HOUSE,82,0.0
IOWA,JACK WHITVER,STATE SENATE,19,1048164.8899999999
IOWA,LIZ MATHIS,STATE SENATE,34,97408.79000000002
