STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
KENTUCKY,DAMON THAYER,STATE SENATE,17,463997.25
KENTUCKY,MIKE WILSON,STATE SENATE,32,98773.23000000001
KENTUCKY,MARY BETH IMES,STATE HOUSE,5,27315.75
KENTUCKY,STEVE RILEY,STATE HOUSE,23,32969.89
KENTUCKY,RICHARD HEATH,STATE HOUSE,2,19721.57
KENTUCKY,C. ED MASSEY,STATE HOUSE,66,19794.53
KENTUCKY,C. B. EMBRY,STATE SENATE,6,69013.76
KENTUCKY,JOSIE RAYMOND,STATE HOUSE,31,83639.59
KENTUCKY,SAL SANTORO,STATE HOUSE,60,86044.09
KENTUCKY,RUSSELL WEBBER,STATE HOUSE,26,59884.49
KENTUCKY,KIM BANTA,STATE HOUSE,63,76996.91999999998
KENTUCKY,WIL SCHRODER,STATE SENATE,24,282449.18
KENTUCKY,WALKER WOOD THOMAS,STATE HOUSE,8,36415.47
KENTUCKY,MATTHEW R. KOCH,STATE HOUSE,72,39847.259999999995
KENTUCKY,CHRIS FUGATE,STATE HOUSE,84,0.0
KENTUCKY,REGINA BUNCH HUFF,STATE HOUSE,82,21014.26
KENTUCKY,MICHAEL LEE MEREDITH,STATE HOUSE,19,74036.32
KENTUCKY,RICK GIRDLER,STATE SENATE,15,48948.08
KENTUCKY,ADRIENNE E. SOUTHWORTH,STATE SENATE,7,71196.16
KENTUCKY,SCOTT LEWIS,STATE HOUSE,14,0.0
KENTUCKY,THOMAS J. BURCH,STATE HOUSE,30,99573.46
KENTUCKY,JASON K. PETRIE,STATE HOUSE,16,10842.93
KENTUCKY,TOM O'DELL SMITH,STATE HOUSE,86,51335.08
KENTUCKY,WILLIAM LEE LAWRENCE,STATE HOUSE,70,18210.000000000004
KENTUCKY,PATRICK FLANNERY,STATE HOUSE,96,39004.549999999996
KENTUCKY,SAVANNAH MADDOX,STATE HOUSE,61,25061.97
KENTUCKY,JONATHAN DIXON,STATE HOUSE,11,75086.98999999999
KENTUCKY,MARY LOU MARZIAN,STATE HOUSE,34,50389.3
KENTUCKY,MICHAEL J. NEMES,STATE SENATE,38,62011.85
KENTUCKY,WILLIAM BRANDON REED,STATE HOUSE,24,6154.3
KENTUCKY,ROBIN L. WEBB,STATE SENATE,18,75542.33
KENTUCKY,JOSHUA BRANSCUM,STATE HOUSE,83,62455.0
KENTUCKY,JOSH CALLOWAY,STATE HOUSE,10,18706.38
KENTUCKY,MYRON B. DOSSETT,STATE HOUSE,9,8117.040000000001
KENTUCKY,CHARLES PHILLIP WHEELER,STATE SENATE,31,426466.39
KENTUCKY,GEORGE A. BROWN,STATE HOUSE,77,9154.2
KENTUCKY,GEORGE MAXWELL WISE,STATE SENATE,16,160024.47
KENTUCKY,ANDY BESHEAR,GOVERNOR,,8063214.28
KENTUCKY,JENNIFER HENSON DECKER,STATE HOUSE,58,44746.24
KENTUCKY,ALAN GENTRY,STATE HOUSE,46,49055.78
KENTUCKY,RALPH A. ALVARADO,STATE SENATE,28,489279.31999999995
KENTUCKY,DANNY R. BENTLEY,STATE HOUSE,98,4850.97
KENTUCKY,DENNIS L. PARRETT,STATE SENATE,10,5001.0
KENTUCKY,KENNETH UPCHURCH,STATE HOUSE,52,73528.56
KENTUCKY,CHARLES W. MILLER,STATE HOUSE,28,30213.04
KENTUCKY,STEPHEN WEST,STATE SENATE,27,20589.29
KENTUCKY,C. LYNN BECHLER,STATE HOUSE,4,19556.409999999996
KENTUCKY,REGINALD K. MEEKS,STATE HOUSE,42,0.0
KENTUCKY,THOMAS HUFF,STATE HOUSE,49,91787.31999999999
KENTUCKY,KIMBERLY POORE MOSER,STATE HOUSE,64,66595.98000000001
KENTUCKY,BRANDON D. SMITH,STATE SENATE,30,199934.8
KENTUCKY,DANIEL B. ELLIOTT,STATE HOUSE,54,20669.08
KENTUCKY,BRANDON JACKSON STORM,STATE SENATE,21,78938.51000000001
KENTUCKY,JAMES ALLEN TIPTON,STATE HOUSE,53,30532.899999999998
KENTUCKY,KEVIN D. BRATCHER,STATE HOUSE,29,90150.64
