STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
MICHIGAN,MARI MANOOGIAN,STATE HOUSE,40,269039.54000000004
MICHIGAN,WILLIAM J. SOWERBY,STATE HOUSE,31,73406.50000000001
MICHIGAN,BRENDA CARTER,STATE HOUSE,29,43963.86
MICHIGAN,DAYNA POLEHANKI,STATE SENATE,7,213846.69
MICHIGAN,MATT KOLESZAR,STATE HOUSE,20,202894.35
MICHIGAN,JULIE ALEXANDER,STATE HOUSE,64,104015.66
MICHIGAN,DIANA FARRINGTON,STATE HOUSE,30,59241.899999999994
MICHIGAN,JULIE BRIXIE,STATE HOUSE,69,39898.93
MICHIGAN,PADMA KUPPA,STATE HOUSE,41,204203.38000000003
MICHIGAN,REGINA WEISS,STATE HOUSE,27,64810.43
MICHIGAN,GREGORY MARKKANEN,STATE HOUSE,110,47568.619999999995
MICHIGAN,TIM SNELLER,STATE HOUSE,50,82200.34
MICHIGAN,SUE ALLOR,STATE HOUSE,106,28449.59
MICHIGAN,ED MCBROOM,STATE SENATE,38,1146681.71
MICHIGAN,TOM BARRETT,STATE SENATE,24,78846.81
MICHIGAN,BETH GRIFFIN,STATE HOUSE,66,197366.16
MICHIGAN,JIM RUNESTAD,STATE SENATE,15,999425.94
MICHIGAN,ABDULLAH HAMMOUD,STATE HOUSE,15,58967.65
MICHIGAN,TERRY J. SABO,STATE HOUSE,92,69281.65999999999
MICHIGAN,RODNEY WAKEMAN,STATE HOUSE,94,71687.18000000001
MICHIGAN,ROBERT J. BEZOTTE,STATE HOUSE,47,59372.85999999999
MICHIGAN,JEFF IRWIN,STATE SENATE,18,187398.94
MICHIGAN,JOHN R. ROTH,STATE HOUSE,104,307123.94999999995
MICHIGAN,JAMES HAADSMA,STATE HOUSE,62,206569.31
MICHIGAN,TIMOTHY BESON,STATE HOUSE,96,120404.98999999999
MICHIGAN,JACK O'MALLEY,STATE HOUSE,101,121946.57
MICHIGAN,KELLY A. BREEN,STATE HOUSE,38,462493.21
MICHIGAN,CURTIS VANDERWALL,STATE SENATE,35,285964.37
MICHIGAN,JOHN P. REILLY,STATE HOUSE,46,51392.740000000005
MICHIGAN,KYRA HARRIS BOLDEN,STATE HOUSE,35,75919.95999999999
MICHIGAN,BETTY JEAN ALEXANDER,STATE SENATE,5,5065.15
MICHIGAN,MALLORY MCMORROW,STATE SENATE,13,327361.84
MICHIGAN,ADAM HOLLIER,STATE SENATE,2,199232.51
MICHIGAN,DAN V. LAUWERS,STATE SENATE,25,208104.0
MICHIGAN,JOSEPH BELLINO,STATE HOUSE,17,143784.97
MICHIGAN,THOMAS A. ALBERT,STATE HOUSE,86,70396.22
MICHIGAN,CHRISTINE MORSE,STATE HOUSE,61,508867.83999999997
MICHIGAN,DOUGLAS C. WOZNIAK,STATE HOUSE,36,69187.75
MICHIGAN,SAMANTHA STECKLOFF,STATE HOUSE,37,75753.35
MICHIGAN,DALE W. ZORN,STATE SENATE,17,0.0
MICHIGAN,TENISHA YANCEY,STATE HOUSE,1,20176.68
MICHIGAN,TYRONE A. CARTER,STATE HOUSE,6,45114.18
MICHIGAN,BEAU MATTHEW LAFAVE,STATE HOUSE,108,73461.56
MICHIGAN,DAVID LAGRAND,STATE HOUSE,75,56518.14
MICHIGAN,SCOTT A. VANSINGEL,STATE HOUSE,100,114053.43000000001
MICHIGAN,MIKE MUELLER,STATE HOUSE,51,70619.81999999999
MICHIGAN,JOSEPH TATE,STATE HOUSE,2,140630.29
MICHIGAN,JEFF YAROCH,STATE HOUSE,33,38711.64
