STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
VERMONT,HEATHER SURPRENANT,STATE HOUSE,WINDSOR-4-1,1737.8600000000001
VERMONT,EMILY J. LONG,STATE HOUSE,WINDHAM-5,0.0
VERMONT,PAUL MARTIN,STATE HOUSE,FRANKLIN-5,3492.4
VERMONT,HENRY PEARL,STATE HOUSE,CALEDONIA-WASHINGTON,3715.2599999999998
VERMONT,MICHAEL NIGRO,STATE HOUSE,BENNINGTON-2-2,2064.46
VERMONT,WARREN FREDERICK KITZMILLER,STATE HOUSE,WASHINGTON-4,0.0
VERMONT,RICHARD W. SEARS,STATE SENATE,BENNINGTON,6818.99
VERMONT,GABRIELLE STEBBINS,STATE HOUSE,CHITTENDEN-6-5,8735.58
VERMONT,FELISHA LEFFLER,STATE HOUSE,FRANKLIN-7,4880.96
VERMONT,BRIAN COLLAMORE,STATE SENATE,RUTLAND,6141.25
VERMONT,JEANETTE K. WHITE,STATE SENATE,WINDHAM,1080.0
VERMONT,LESLIE GOLDMAN,STATE HOUSE,WINDHAM-3,7958.459999999999
VERMONT,KRISTI MORRIS,STATE HOUSE,WINDSOR-3-2,1795.2700000000002
VERMONT,MICHAEL D. MCCARTHY,STATE HOUSE,FRANKLIN-3-1,5836.73
VERMONT,JOSEPH TROIANO,STATE HOUSE,CALEDONIA-2,5930.789999999999
VERMONT,MARK A. MACDONALD,STATE SENATE,ORANGE,5386.85
VERMONT,MARYBETH CHRISTIE REDMOND,STATE HOUSE,CHITTENDEN-8-1,11722.970000000001
VERMONT,MARTHA A. FELTUS,STATE HOUSE,CALEDONIA-4,520.7
VERMONT,THOMAS B. BURDITT,STATE HOUSE,RUTLAND-2,0.0
VERMONT,KELLY MACLAURY PAJALA,STATE HOUSE,WINDHAM-BENNINGTON-WINDSOR,2957.09
VERMONT,LOGAN NICOLL,STATE HOUSE,RUTLAND-WINDSOR-2,701.69
VERMONT,THOMAS P. TERENZINI,STATE HOUSE,RUTLAND-4,3588.7
VERMONT,CHRISTOPHER A. BRAY,STATE SENATE,ADDISON,2487.5
VERMONT,MICHAEL MROWICKI,STATE HOUSE,WINDHAM-4,3690.1
VERMONT,ERIN BRADY,STATE HOUSE,CHITTENDEN-2,5620.639999999999
VERMONT,SARA COFFEY,STATE HOUSE,WINDHAM-1,4158.16
VERMONT,BARBARA RACHELSON,STATE HOUSE,CHITTENDEN-6-6,1340.4399999999998
VERMONT,MAIDA FLORENCE TOWNSEND,STATE HOUSE,CHITTENDEN-7-4,301.97999999999996
VERMONT,JOSEPH PARSONS,STATE HOUSE,ORANGE-CALEDONIA,0.0
VERMONT,PATRICK M. BRENNAN,STATE HOUSE,CHITTENDEN-9-2,0.0
VERMONT,ROBIN SCHEU,STATE HOUSE,ADDISON-1,1255.37
VERMONT,JAMES W. MASLAND,STATE HOUSE,WINDSOR-ORANGE-2,500.0
VERMONT,STEPHANIE JEROME,STATE HOUSE,RUTLAND-6,6740.35
VERMONT,HARVEY T. SMITH,STATE HOUSE,ADDISON-5,2455.9900000000002
VERMONT,JOHN KILLACKY,STATE HOUSE,CHITTENDEN-7-3,7036.47
VERMONT,MARCIA ROBINSON MARTEL,STATE HOUSE,CALEDONIA-1,0.0
VERMONT,MICHAEL R. MORGAN,STATE HOUSE,GRAND ISLE-CHITTENDEN,13899.93
VERMONT,LINDA JOY SULLIVAN,STATE HOUSE,BENNINGTON-RUTLAND,16342.299999999997
VERMONT,LISA ABBOTT HANGO,STATE HOUSE,FRANKLIN-5,3253.16
VERMONT,ARTHUR PETERSON,STATE HOUSE,RUTLAND-2,5653.54
VERMONT,ANN E. CUMMINGS,STATE SENATE,WASHINGTON,4201.32
VERMONT,JAMES HARRISON,STATE HOUSE,RUTLAND-WINDSOR-1,1456.2699999999998
VERMONT,PHILIP E. BARUTH,STATE SENATE,CHITTENDEN,0.0
VERMONT,CHERYL MAZZARIELLO HOOKER,STATE SENATE,RUTLAND,8699.27
VERMONT,PAUL D. LEFEBVRE,STATE HOUSE,ESSEX-CALEDONIA-ORLEANS,2187.9399999999996
VERMONT,NELSON BROWNELL,STATE HOUSE,BENNINGTON-1,0.0
VERMONT,ANN D. PUGH,STATE HOUSE,CHITTENDEN-7-2,2998.5
VERMONT,RODNEY P. GRAHAM,STATE HOUSE,ORANGE-1,1622.85
VERMONT,MAXINE JO GRAD,STATE HOUSE,WASHINGTON-7,661.7099999999999
VERMONT,THOMAS CHITTENDEN,STATE SENATE,CHITTENDEN,53313.829999999994
VERMONT,WILLIAM P. CANFIELD,STATE HOUSE,RUTLAND-3,575.5
VERMONT,BARBARA SMITH MURPHY,STATE HOUSE,FRANKLIN-2,0.0
VERMONT,GEORGE W. TILL,STATE HOUSE,CHITTENDEN-3,0.0
VERMONT,TERRY NORRIS,STATE HOUSE,ADDISON-RUTLAND,0.0
VERMONT,CHARLIE KIMBELL,STATE HOUSE,WINDSOR-5,927.39
VERMONT,MARY S. HOOPER,STATE HOUSE,WASHINGTON-4,0.0
VERMONT,THERESA A. WOOD,STATE HOUSE,WASHINGTON-CHITTENDEN,971.19
VERMONT,PATRICIA A. MCCOY,STATE HOUSE,RUTLAND-1,2742.12
VERMONT,HEIDI E. SCHEUERMANN,STATE HOUSE,LAMOILLE-1,25108.059999999998
VERMONT,ANDREW PERCHLIK,STATE SENATE,WASHINGTON,3617.7000000000003
VERMONT,LYNN D. BATCHELOR,STATE HOUSE,ORLEANS-1,0.0
VERMONT,ROBERT B. LACLAIR,STATE HOUSE,WASHINGTON-2,0.0
VERMONT,MARY E. HOWARD,STATE HOUSE,RUTLAND-5-3,2288.62
VERMONT,ROBERT W. NORRIS,STATE HOUSE,FRANKLIN-4,1107.76
VERMONT,REBECCA WHITE,STATE HOUSE,WINDSOR-4-2,200.0
VERMONT,HAROLD COLSTON,STATE HOUSE,CHITTENDEN-6-7,2246.3
VERMONT,TREVOR J. SQUIRRELL,STATE HOUSE,CHITTENDEN-3,3287.29
VERMONT,DIANE M. LANPHER,STATE HOUSE,ADDISON-3,4401.3
VERMONT,RUTH HARDY,STATE SENATE,ADDISON,6431.24
VERMONT,BRIAN K. SAVAGE,STATE HOUSE,FRANKLIN-4,1790.6999999999998
VERMONT,VICKI M. STRONG,STATE HOUSE,ORLEANS-CALEDONIA,5293.63
VERMONT,CARL J. ROSENQUIST,STATE HOUSE,FRANKLIN-1,4225.0
VERMONT,PATRICK SEYMOUR,STATE HOUSE,CALEDONIA-4,71.91
VERMONT,LUCY ROGERS,STATE HOUSE,LAMOILLE-3,2994.86
VERMONT,KAREN DOLAN,STATE HOUSE,CHITTENDEN-8-2,5661.959999999998
VERMONT,ANTHONY POLLINA,STATE SENATE,WASHINGTON,3831.3399999999997
VERMONT,LARRY P. CUPOLI,STATE HOUSE,RUTLAND-5-2,665.0
VERMONT,LAURA SIBILIA,STATE HOUSE,WINDHAM-BENNINGTON,2925.0899999999997
VERMONT,KATHERINE SIMS,STATE HOUSE,ORLEANS-CALEDONIA,16886.99
VERMONT,JOHN GANNON,STATE HOUSE,WINDHAM-6,0.0
VERMONT,COREY J. PARENT,STATE SENATE,FRANKLIN,7254.58
VERMONT,WILLIAM NOTTE,STATE HOUSE,RUTLAND-5-4,622.22
VERMONT,DANE WHITMAN,STATE HOUSE,BENNINGTON-2-1,5340.280000000001
VERMONT,MOLLY GRAY,LIEUTENANT GOVERNOR,,403608.41
VERMONT,KARI DOLAN,STATE HOUSE,WASHINGTON-7,829.6899999999999
VERMONT,JOHN PALASIK,STATE HOUSE,CHITTENDEN-10,1862.05
VERMONT,EILEEN G. DICKINSON,STATE HOUSE,FRANKLIN-3-2,0.0
VERMONT,MICHELLE BOS-LUN,STATE HOUSE,WINDHAM-4,5362.080000000001
VERMONT,RICHARD A. WESTMAN,STATE SENATE,LAMOILLE,295.52
VERMONT,BRIAN A. CAMPION,STATE SENATE,BENNINGTON,10266.18
VERMONT,DANIEL NOYES,STATE HOUSE,LAMOILLE-2,3577.2299999999996
VERMONT,TOMMY WALZ,STATE HOUSE,WASHINGTON-3,8584.900000000001
VERMONT,AMY SHELDON,STATE HOUSE,ADDISON-1,1050.4299999999998
VERMONT,CAROLYN WELLS PARTRIDGE,STATE HOUSE,WINDHAM-3,3187.7599999999998
VERMONT,SAMANTHA LEFEBVRE,STATE HOUSE,ORANGE-1,3502.5699999999997
VERMONT,ELIZABETH BURROWS,STATE HOUSE,WINDSOR-1,3907.8100000000004
VERMONT,REBECCA A. BALINT,STATE SENATE,WINDHAM,7043.07
VERMONT,CURT TAYLOR,STATE HOUSE,CHITTENDEN-9-1,2078.01
VERMONT,BRIAN SMITH,STATE HOUSE,ORLEANS-1,10325.77
VERMONT,JOSHUA C. TERENZINI,STATE SENATE,RUTLAND,14591.23
VERMONT,MARI CORDES,STATE HOUSE,ADDISON-4,4097.1
VERMONT,LARRY SATCOWITZ,STATE HOUSE,ORANGE-WASHINGTON-ADDISON,4307.22
VERMONT,KATHRYN WEBB,STATE HOUSE,CHITTENDEN-5-1,0.0
VERMONT,ROBERT A. STARR,STATE SENATE,ESSEX-ORLEANS,2170.2799999999997
VERMONT,TRISTAN D. TOLENO,STATE HOUSE,WINDHAM-2-3,502.72
VERMONT,JOSEPH CHARLES BENNING,STATE SENATE,CALEDONIA,8693.24
VERMONT,ANNE B. DONAHUE,STATE HOUSE,WASHINGTON-1,2250.99
VERMONT,KESHA K. RAM,STATE SENATE,CHITTENDEN,82111.23999999999
VERMONT,TAYLOR SMALL,STATE HOUSE,CHITTENDEN-6-7,8735.619999999999
VERMONT,CALEB ELDER,STATE HOUSE,ADDISON-4,2298.78
VERMONT,MICHAEL J. MARCOTTE,STATE HOUSE,ORLEANS-2,200.0
