STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
FLORIDA,WEBSTER BARNABY,STATE HOUSE,27,246817.74
FLORIDA,JOY GOFF-MARCIL,STATE HOUSE,30,66602.31
FLORIDA,AUDREY GIBSON,STATE SENATE,6,210414.84
FLORIDA,TINA SCOTT POLSKY,STATE SENATE,29,386136.18000000005
FLORIDA,JAMES VERNON MOONEY,STATE HOUSE,120,264785.8
FLORIDA,MIKE GIALLOMBARDO,STATE HOUSE,77,240446.11
FLORIDA,SPENCER ROACH,STATE HOUSE,79,247410.41
FLORIDA,MATT WILLHITE,STATE HOUSE,86,85660.26000000001
FLORIDA,JAMES BUSH,STATE HOUSE,109,9602.999999999998
FLORIDA,KRISTEN ARRINGTON,STATE HOUSE,43,53595.0
FLORIDA,JUAN FERNANDEZ-BARQUIN,STATE HOUSE,119,0.0
FLORIDA,DEMI BUSATTA CABRERA,STATE HOUSE,114,0.0
FLORIDA,VICTOR M. TORRES,STATE SENATE,15,144658.65999999997
FLORIDA,ANTHONY RODRIGUEZ,STATE HOUSE,118,433905.37
FLORIDA,RANDALL ADAM FINE,STATE HOUSE,53,306503.92999999993
FLORIDA,DANIEL ANTHONY PEREZ,STATE HOUSE,116,14127.08
FLORIDA,MIKE BELTRAN,STATE HOUSE,57,306778.18
FLORIDA,ANGIE NIXON,STATE HOUSE,14,146141.31
FLORIDA,DAISY MORALES,STATE HOUSE,48,8809.91
FLORIDA,ANNA V. ESKAMANI,STATE HOUSE,47,300260.22
FLORIDA,CHRISTINE HUNSCHOFSKY,STATE HOUSE,96,136473.72999999998
FLORIDA,TRAVIS J. HUTSON,STATE SENATE,7,196419.75999999998
FLORIDA,CHRISTOPHER JOHN LATVALA,STATE HOUSE,67,355355.01
FLORIDA,FIONA MCFARLAND,STATE HOUSE,72,472357.82999999996
FLORIDA,MIKE CARUSO,STATE HOUSE,89,392206.22000000003
FLORIDA,ANA MARIA RODRIGUEZ,STATE SENATE,39,828448.7100000001
FLORIDA,BEN ALBRITTON,STATE SENATE,26,315216.05
FLORIDA,ANDREW P. LEARNED,STATE HOUSE,59,340500.21
FLORIDA,MELONY M. BELL,STATE HOUSE,56,130144.47999999998
FLORIDA,JOE HARDING,STATE HOUSE,22,233834.02
FLORIDA,RENE PLASENCIA,STATE HOUSE,50,248739.12999999998
FLORIDA,FELICIA ROBINSON,STATE HOUSE,102,75449.32
FLORIDA,KELLI STARGEL,STATE SENATE,22,547649.86
FLORIDA,ALLISON TANT,STATE HOUSE,9,457918.57999999996
FLORIDA,LORI B. BERMAN,STATE SENATE,31,142238.53
FLORIDA,TRAVARIS MCCURDY,STATE HOUSE,46,18196.13
FLORIDA,WARREN PERRY,STATE SENATE,8,0.0
FLORIDA,ALEX RIZO,STATE HOUSE,110,183188.77
FLORIDA,CLAY YARBOROUGH,STATE HOUSE,12,257542.16999999998
FLORIDA,DIANNE HART,STATE HOUSE,61,46.0
FLORIDA,SUSAN L. VALDES,STATE HOUSE,62,76154.63
FLORIDA,DAVID RYAN SILVERS,STATE HOUSE,87,168091.0
FLORIDA,ELIZABETH FETTERHOFF,STATE HOUSE,26,293844.98
FLORIDA,RAMON JERMAINE ALEXANDER,STATE HOUSE,8,24250.0
FLORIDA,RANDOLPH BRACY,STATE SENATE,11,105096.94
FLORIDA,ROBIN BARTLEMAN,STATE HOUSE,104,148139.66999999998
FLORIDA,ROBERT G. ROMMEL,STATE HOUSE,106,236045.39999999997
FLORIDA,DENNIS K. BAXLEY,STATE SENATE,12,304884.84
FLORIDA,COLLEEN BURTON,STATE HOUSE,40,273318.69
FLORIDA,FRED HAWKINS,STATE HOUSE,42,334208.39999999997
FLORIDA,LAWRENCE MCCLURE,STATE HOUSE,58,223612.0
FLORIDA,ROBERT ALEXANDER ANDRADE,STATE HOUSE,2,154.11
FLORIDA,KEITH TRUENOW,STATE HOUSE,31,183465.0
FLORIDA,DANIEL WRIGHT BURGESS,STATE SENATE,20,11523.05
FLORIDA,DEBBIE MAYFIELD,STATE SENATE,17,519526.30000000005
FLORIDA,JOSEPH A. CASELLO,STATE HOUSE,90,72522.8
FLORIDA,NICHOLAS XAVIER DURAN,STATE HOUSE,112,264613.62
FLORIDA,DOTIE JOSEPH,STATE HOUSE,108,213302.41000000003
FLORIDA,MICHELE K. RAYNER,STATE HOUSE,70,116908.60000000002
FLORIDA,RON DESANTIS,GOVERNOR,,13995794.72
FLORIDA,ADAM BOTANA,STATE HOUSE,76,263564.13
FLORIDA,MARIE WOODSON,STATE HOUSE,101,0.0
FLORIDA,SAM KILLEBREW,STATE HOUSE,41,166506.05000000002
FLORIDA,GARY M. FARMER,STATE SENATE,34,323944.54000000004
FLORIDA,MANNY DIAZ,STATE SENATE,36,688268.4200000002
FLORIDA,KATHLEEN C. PASSIDOMO,STATE SENATE,28,425496.18000000005
FLORIDA,ROBERT BRUCE PAYNE,STATE HOUSE,19,218438.74000000002
FLORIDA,JASON PIZZO,STATE SENATE,38,463400.0
FLORIDA,GAYLE BAUER HARRELL,STATE SENATE,25,488807.92000000004
FLORIDA,BOBBY B. DUBOSE,STATE HOUSE,94,141147.0
FLORIDA,DAVID SMITH,STATE HOUSE,28,552647.75
FLORIDA,BRAD E. DRAKE,STATE HOUSE,5,86678.66
FLORIDA,JEANETTE M. NUÑEZ,LIEUTENANT GOVERNOR,,82691.87999999999
FLORIDA,TOM LEEK,STATE HOUSE,25,298464.0
