STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
CALIFORNIA,JIM FRAZIER,STATE ASSEMBLY,11,1168531.3399999999
CALIFORNIA,KEN COOLEY,STATE ASSEMBLY,8,804336.6900000001
CALIFORNIA,BRIAN MAIENSCHEIN,STATE ASSEMBLY,77,988798.9999999999
CALIFORNIA,LAURA FRIEDMAN,STATE ASSEMBLY,43,1448511.05
CALIFORNIA,NANCY SKINNER,STATE SENATE,9,0.0
CALIFORNIA,FREDDIE RODRIGUEZ,STATE ASSEMBLY,52,957366.05
CALIFORNIA,AL MURATSUCHI,STATE ASSEMBLY,66,0.0
CALIFORNIA,ROSILICIE OCHOA BOGH,STATE SENATE,23,270242.86000000004
CALIFORNIA,ADAM C. GRAY,STATE ASSEMBLY,21,0.0
CALIFORNIA,THOMAS UMBERG,STATE SENATE,34,1113047.98
CALIFORNIA,LORENA GONZALEZ,STATE ASSEMBLY,80,1830885.38
CALIFORNIA,MELISSA A. MELENDEZ,STATE SENATE,28,591224.64
CALIFORNIA,MEGAN DAHLE,STATE ASSEMBLY,1,511269.87
CALIFORNIA,MARIA ELENA DURAZO,STATE SENATE,24,0.0
CALIFORNIA,ROBERT RIVAS,STATE ASSEMBLY,30,1045781.17
CALIFORNIA,ALEX LEE,STATE ASSEMBLY,25,0.0
CALIFORNIA,ELOISE GOMEZ REYES,STATE ASSEMBLY,47,1443705.66
CALIFORNIA,STEVEN CRAIG BRADFORD,STATE SENATE,35,250606.7
CALIFORNIA,HEATH FLORA,STATE ASSEMBLY,12,233913.26
CALIFORNIA,RICHARD BLOOM,STATE ASSEMBLY,50,2091.9700000000003
CALIFORNIA,STEVE GLAZER,STATE SENATE,7,450781.17
CALIFORNIA,JAMES WILEY NIELSEN,STATE SENATE,4,742889.68
CALIFORNIA,RICHARD D. ROTH,STATE SENATE,31,0.0
CALIFORNIA,TOM LACKEY,STATE ASSEMBLY,36,0.0
CALIFORNIA,KEVIN MCCARTY,STATE ASSEMBLY,7,303391.81999999995
CALIFORNIA,SCOTT THOMAS WILK,STATE SENATE,21,2688650.05
CALIFORNIA,BUFFY WICKS,STATE ASSEMBLY,15,0.0
CALIFORNIA,JACQUI V. IRWIN,STATE ASSEMBLY,44,678122.6699999999
CALIFORNIA,TASHA BOERNER HORVATH,STATE ASSEMBLY,76,2009875.55
CALIFORNIA,DEVON JOHN MATHIS,STATE ASSEMBLY,26,672365.2999999999
CALIFORNIA,ADRIN NAZARIAN,STATE ASSEMBLY,46,984408.3800000001
CALIFORNIA,MIGUEL SANTIAGO,STATE ASSEMBLY,53,23104.29
CALIFORNIA,SHARON QUIRK-SILVA,STATE ASSEMBLY,65,754126.3
CALIFORNIA,BILL DODD,STATE SENATE,3,2097637.3499999996
CALIFORNIA,RANDY VOEPEL,STATE ASSEMBLY,71,234906.06
CALIFORNIA,CARLOS VILLAPUDUA,STATE ASSEMBLY,13,0.0
CALIFORNIA,BEN HUESO,STATE SENATE,40,864536.1799999999
CALIFORNIA,CRISTINA GARCIA,STATE ASSEMBLY,58,500352.49
CALIFORNIA,KEVIN MULLIN,STATE ASSEMBLY,22,1351384.19
CALIFORNIA,JOSH NEWMAN,STATE SENATE,29,0.0
