CATEGORY
ACCOUNTING & FINANCIAL MANAGEMENT
CAMPAIGN CONSULTING
CAMPAIGN SIGNS & PARAPHERNALIA
CANDIDATE FILING & BALLOT FEES
CANVASSING & FIELD WORK
COMPLIANCE SERVICES
CONTRIBUTION & DONATION
CREDIT CARD PAYMENT & BANK FEES
CREDIT CARD PROCESSING FEES
DATA & DATABASE SERVICES
DIGITAL & SOCIAL MEDIA CONSULTING
DIGITAL ADVERTISING
DIRECT MAIL
EVENT EXPENSES
FUEL & GAS
FUNDRAISING & FUNDRAISING CONSULTING
GENERAL OPERATIONS & SUPPLIES
INSURANCE
LEGAL SERVICES
LOBBYING
MEALS & CATERING
MEDIA & ADS
MEETING EXPENSES
OFFICE EXPENSES
SALARY & PAYROLL PROCESSING FEES
PAYROLL TAX
POLITICAL FUNDS & GROUPS
POLLING & RESEARCH
"PR, COMMUNICATIONS, & MARKETING"
PRINTING
PROFESSIONAL SERVICES
REIMBURSEMENT
SALARY & PAYROLL
SHIPPING & POSTAGE
SOFTWARE & TECHNOLOGY
STORAGE
TAXES
TRAVEL & LODGING
UTILITIES
WEBSITE SERVICES
