STATE,NAME,OFFICE,DISTRICT,ELECTION YEAR,FEC NAME
WA,DEREK KILMER,U.S. HOUSE,6,2020,"KILMER, DEREK"
WA,RICHARD RAY LARSEN,U.S. HOUSE,2,2020,"ALLEN, RICHARD W"
WA,CATHY MCMORRIS RODGERS,U.S. HOUSE,5,2020,"RODGERS, CATHY MCMORRIS"
WA,DANIEL MILTON NEWHOUSE,U.S. HOUSE,4,2020,"NEWHOUSE, DANIEL MILTON"
WA,KIM SCHRIER,U.S. HOUSE,8,2020,"SCHRIER, KIM DR."
WA,ADAM SMITH,U.S. HOUSE,9,2020,"SMITH, D. ADAM"
WA,MARILYN STRICKLAND,U.S. HOUSE,10,2020,"STRICKLAND, MARILYN"
WV,DAVID B. MCKINLEY,U.S. HOUSE,1,2020,"MCKINLEY, DAVID B. MR."
WV,CAROL DEVINE MILLER,U.S. HOUSE,3,2020,"MILLER, CAROL DEVINE"
WV,ALEXANDER X. MOONEY,U.S. HOUSE,2,2020,"MOONEY, ALEXANDER XAVIER"
WI,SCOTT L. FITZGERALD,U.S. HOUSE,5,2020,"FITZGERALD, SCOTT L"
WI,MIKE GALLAGHER,U.S. HOUSE,8,2020,"GALLAGHER, MICHAEL"
WI,GLENN GROTHMAN,U.S. HOUSE,6,2020,"GROTHMAN, GLENN S."
WI,RONALD JAMES KIND,U.S. HOUSE,3,2020,"KIND, RONALD JAMES"
WI,GWENDOLYNNE S. MOORE,U.S. HOUSE,4,2020,"MOORE, GWEN S"
WI,MARK POCAN,U.S. HOUSE,2,2020,"POCAN, MARK"
WI,BRYAN STEIL,U.S. HOUSE,1,2020,"STEIL, BRYAN GEORGE"
WI,THOMAS TIFFANY,U.S. HOUSE,7,2020,"TIFFANY, TOM"
WY,LIZ CHENEY,U.S. HOUSE,AT-LARGE,2020,"CHENEY, ELIZABETH (LIZ)"
