NAME,CATEGORY
GOODBY SILVERSTEIN & PARTNERS,MEDIA & ADS
GOOGLE,DIGITAL ADVERTISING
GOP DATA TRUST,DATA & DATABASE SERVICES
GORDON & SCHWENKMEYER,FUNDRAISING & FUNDRAISING CONSULTING
GOTHAM ACME,CAMPAIGN CONSULTING
GRAND RIVER STRATEGIES,CAMPAIGN CONSULTING
GRAND VALLEY CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
GRASSROOTS ANALYTICS,FUNDRAISING & FUNDRAISING CONSULTING
GRASSROOTS LAB,CREDIT CARD PROCESSING FEES
GRASSROOTS MEDIA,MEDIA & ADS
GRASSROOTS TARGETING,CREDIT CARD PROCESSING FEES
GRASSROOTS VOTER OUTREACH,CREDIT CARD PROCESSING FEES
GRASSROOTSE.COM,"PR, COMMUNICATIONS, & MARKETING"
GREATWEST TRUST COMPANY,ACCOUNTING & FINANCIAL MANAGEMENT
GREENBERG QUINLAN ROSNER RESEARCH,POLLING & RESEARCH
GREENLIGHT MEDIA STRATEGIES,MEDIA & ADS
GREVEN GROUP,CAMPAIGN CONSULTING
GRIGSBY APPLEGATE,FUNDRAISING & FUNDRAISING CONSULTING
GRINDSTONE COMMUNICATIONS SOLUTIONS,CANVASSING & FIELD WORK
GRIT CREATIVE,LEGAL SERVICES
GROUNDSWELL PUBLIC STRATEGIES INC (GPS IMPACT),DIGITAL ADVERTISING
GROUP BENEFIT SERVICES,INSURANCE
GROUP CONSULTANTS,FUNDRAISING & FUNDRAISING CONSULTING
GROWING ECONOMIC OPPORTUNITIES,POLITICAL FUNDS & GROUPS
GRSG COMPANY,CAMPAIGN CONSULTING
GRUNWALD COMMUNICATIONS,MEDIA & ADS
GSI INC,DIRECT MAIL
GUARDIAN,INSURANCE
GUIDANT POLLING/RESEARCH AND STRATEGY,POLLING & RESEARCH
GULA GRAHAM GROUP,FUNDRAISING & FUNDRAISING CONSULTING
GUMBINNER & DAVIES COMMUNICATIONS,DIRECT MAIL
GUSTO (FEES),SALARY & PAYROLL PROCESSING FEES
GUSTO (PAYROLL TAX),PAYROLL TAX
GUSTO (PAYROLL),SALARY & PAYROLL
H2 CAPITAL CONSULTING,CREDIT CARD PAYMENT & BANK FEES
HACKNEY & HACKNEY,CAMPAIGN CONSULTING
HAMBURGER GIBSON CREATIVE,CAMPAIGN CONSULTING
HAMILTON CAMPAIGN NETWORK,CAMPAIGN CONSULTING
HAMMERSTONE,GENERAL OPERATIONS & SUPPLIES
LAURA HANEY,FUNDRAISING & FUNDRAISING CONSULTING
HARBINGER,EVENT EXPENSES
HARD KNOCKS STRATEGIES,CANVASSING & FIELD WORK
HARD ROCK HOTEL CASINO,TRAVEL & LODGING
HARDER LLP,CAMPAIGN CONSULTING
HARDPIN MEDIA,MEDIA & ADS
HARPER POLLING/RESEARCH,POLLING & RESEARCH
HARRIS MEDIA,MEDIA & ADS
HARRIS SIKES MEDIA,MEDIA & ADS
HART RESEARCH ASSOCIATES,POLLING & RESEARCH
HARTA COMMUNICATIONS,DIGITAL ADVERTISING
HARVARD PILGRIM,INSURANCE
HAWKFISH,DIGITAL ADVERTISING
HAYSTAQDNA,CAMPAIGN CONSULTING
HDS MARKETING,"PR, COMMUNICATIONS, & MARKETING"
HELEN MILBY & COMPANY,FUNDRAISING & FUNDRAISING CONSULTING
HELIX CAMPAIGNS,CAMPAIGN CONSULTING
HEMPHILL BROTHERS LEASING CO,TRAVEL & LODGING
HENRY PIERRE INC DBA GROUND BRANCH,MEDIA & ADS
HENRYALAN,COMPLIANCE SERVICES
HICKMAN ANALYTICS,CAMPAIGN CONSULTING
HIGH BRIDGE CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
HIGH COTTON CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
HIGH OUTPUT,LEGAL SERVICES
HIGHWOOD CAPITAL,FUNDRAISING & FUNDRAISING CONSULTING
HILTON HOTELS,TRAVEL & LODGING
HM CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
HOLLAND & KNIGHT,LEGAL SERVICES
HOLLOWAY CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
HOLTZMAN VOGEL JOSEFIAK TORCHINSKY PLLC,LEGAL SERVICES
HONAN STRATEGY GROUP,POLLING & RESEARCH
HONOLD COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
HOOKS SOLUTIONS,FUNDRAISING & FUNDRAISING CONSULTING
HORGAN ASSOCIATES,CAMPAIGN CONSULTING
HORIZON MEDIA,MEDIA & ADS
HOTELS.COM,TRAVEL & LODGING
HOWLER INSIGHTS,COMPLIANCE SERVICES
HSP DIRECT,DIRECT MAIL
HUCKABY DAVIS LISKER,COMPLIANCE SERVICES
HULU,DIGITAL ADVERTISING
HUSTLE,SOFTWARE & TECHNOLOGY
I360,GENERAL OPERATIONS & SUPPLIES
ICS CORPORATION,CREDIT CARD PROCESSING FEES
IGICOM LLC,CAMPAIGN CONSULTING
IHEART MEDIA,MEDIA & ADS
IMAGE DIRECT,DIRECT MAIL
IMGE LLC,"PR, COMMUNICATIONS, & MARKETING"
IMPACT POLITICS,"PR, COMMUNICATIONS, & MARKETING"
IN FIELD STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
INCITE STUDIO,CAMPAIGN CONSULTING
INCUBATION LAB,CAMPAIGN CONSULTING
INFINITI HR,COMPLIANCE SERVICES
INFOCISION MANAGEMENT,"PR, COMMUNICATIONS, & MARKETING"
INFOGROUP,DIRECT MAIL
INNOVATIVE MARKETING TECHNIQUES,"PR, COMMUNICATIONS, & MARKETING"
INPRODUCTION,EVENT EXPENSES
INSIGHT DIRECT USA,SOFTWARE & TECHNOLOGY
INSPERITY,SALARY & PAYROLL PROCESSING FEES
INTEGRAL RESOURCES,FUNDRAISING & FUNDRAISING CONSULTING
INTEGRAM,SHIPPING & POSTAGE
INTEGRATED CAMPAIGN SOLUTIONS,FUNDRAISING & FUNDRAISING CONSULTING
INTERCONTINENTAL HOTEL GROUP,TRAVEL & LODGING
INTERNAL REVENUE SERVICE (IRS) (PAYROLL TAX),PAYROLL TAX
INTERNAL REVENUE SERVICE (IRS) (TAXES),TAXES
INTUIT,SOFTWARE & TECHNOLOGY
IOWA DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
ITERABLE,LEGAL SERVICES
J RUSSELL & ASSOC - WAR ROOM STRATEGIES,CAMPAIGN CONSULTING
JOHN JACKSON,SALARY & PAYROLL
JACOBSON & ZILBER STRATEGIES,CAMPAIGN CONSULTING
JAMESTOWN ASSOCIATES,"PR, COMMUNICATIONS, & MARKETING"
JBW CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
JDB MARKETING,"PR, COMMUNICATIONS, & MARKETING"
JENNER & BLOCK,LEGAL SERVICES
JET MAIL SERVICES,DIRECT MAIL
JETBLUE AIRWAYS,TRAVEL & LODGING
JEWISH DEMOCRATIC COUNCIL OF AMERICA,POLITICAL FUNDS & GROUPS
NORMINGTON PETTS & ASSOCIATES,POLLING & RESEARCH
JOE TRIPPI & ASSOCIATES,MEDIA & ADS
JOHNSON CONTROLS,OFFICE EXPENSES
JONES DAY,CAMPAIGN CONSULTING
JONES MANDEL,CAMPAIGN CONSULTING
JP WEST,INSURANCE
JPM AND M,DIRECT MAIL
JR MEDIA,MEDIA & ADS
JUSTWORKS,SALARY & PAYROLL PROCESSING FEES
JVA CAMPAIGNS,CAMPAIGN CONSULTING
KAEGI RESOURCES,FUNDRAISING & FUNDRAISING CONSULTING
KAESER & BLAIR,GENERAL OPERATIONS & SUPPLIES
KALIK & ASSOCIATES,FUNDRAISING & FUNDRAISING CONSULTING
KASOWITZ BENSON TORRES,CAMPAIGN CONSULTING
KATZ WATSON GROUP,CAMPAIGN CONSULTING
KAUFMAN LEGAL GROUP,LEGAL SERVICES
KC STRATEGIES,CAMPAIGN CONSULTING
KELLY & ASSOCIATES INSURANCE GROUP,INSURANCE
KENNEDY COMMUNICATIONS,DIRECT MAIL
KENTUCKY PRESS SERVICE,MEDIA & ADS
KESSLER CREATIVE,DIRECT MAIL
KEY ASSOCIATES,"PR, COMMUNICATIONS, & MARKETING"
KEY ACQUISITION PARTNERS,"PR, COMMUNICATIONS, & MARKETING"
KEY INTEGRATED SOLUTIONS,DIGITAL & SOCIAL MEDIA CONSULTING
KG CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
KIELOCH CONSULTING,CAMPAIGN CONSULTING
KINGSTON PUBLIC AFFAIRS,COMPLIANCE SERVICES
KIRSHNER EVENTS,EVENT EXPENSES
KIRSTIN HOPKINS,FUNDRAISING & FUNDRAISING CONSULTING
KNOTEL,OFFICE EXPENSES
KOCH & HOOS,ACCOUNTING & FINANCIAL MANAGEMENT
KOS MEDIA,MEDIA & ADS
KRAMER ASSOCIATES,FUNDRAISING & FUNDRAISING CONSULTING
KULLY STRUBLE,MEDIA & ADS
L2,"PR, COMMUNICATIONS, & MARKETING"
LAKE RESEARCH PARTNERS,POLLING & RESEARCH
LAKESIDE COMMUNICATIONS,MEDIA & ADS
LANDMARK LIMO,TRAVEL & LODGING
LANDSLIDE POLITICAL,CAMPAIGN CONSULTING
LANDSLYDE MEDIA GROUP,MEDIA & ADS
LAROCCA HORNIK ROSEN & GREENBERG LLP,CAMPAIGN CONSULTING
LAROUCHE POLICY INSTITUTE,LEGAL SERVICES
LE MERIDIAN,TRAVEL & LODGING
LEFT ACTION,DIGITAL & SOCIAL MEDIA CONSULTING
LEFT HOOK,MEDIA & ADS
LEGACY LISTS,TRAVEL & LODGING
LEGENDARY CAMPAIGNS,DIGITAL ADVERTISING
LEGION AVS,EVENT EXPENSES
LES WILLIAMSON,COMPLIANCE SERVICES
LEVEL UP HCS,MEALS & CATERING
LEXIS NEXIS,GENERAL OPERATIONS & SUPPLIES
LGM CONSULTING GROUP,"PR, COMMUNICATIONS, & MARKETING"
LIGHT ACTION,LEGAL SERVICES
LILLY & COMPANY,FUNDRAISING & FUNDRAISING CONSULTING
LIMESTONE STRATEGIES,CAMPAIGN CONSULTING
LINCOLN STRATEGY GROUP,FUNDRAISING & FUNDRAISING CONSULTING
LINEMARK PRINTING,PRINTING
LIQUID CONSULTING,GENERAL OPERATIONS & SUPPLIES
LIQUID SOUL MEDIA,MEDIA & ADS
LISTWISE,TRAVEL & LODGING
LIVE X,DIGITAL & SOCIAL MEDIA CONSULTING
LMG LLC,LEGAL SERVICES
LOCKWOOD STRATEGY LABS,MEDIA & ADS
LOFSTROM CONSULTING,CAMPAIGN CONSULTING
LOS ANGELES APPAREL,GENERAL OPERATIONS & SUPPLIES
LOUD AND CLEAR,EVENT EXPENSES
LR PARIS,"PR, COMMUNICATIONS, & MARKETING"
LSQ FUNDING GROUP,LEGAL SERVICES
LUCY CROXTON CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
LVH CONSULTING,CAMPAIGN CONSULTING
LYFT,TRAVEL & LODGING
MACWILLIAMS SANDERS COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
MADISON STREET PRESS,PRINTING
MAGGIE CLARK MEDIA SERVICES,MEDIA & ADS
MAGNUS PEARSON MEDIA,MEDIA & ADS
MAI ASSOCIATES,CAMPAIGN CONSULTING
MAI MARY,FUNDRAISING & FUNDRAISING CONSULTING
MAIANNE SAHL COMPANY,CAMPAIGN CONSULTING
MAIL AMERICA COMMUNICATIONS,DIRECT MAIL
MAILCHIMP,WEBSITE SERVICES
MAIN STREET COMMUNICATIONS,MEDIA & ADS
MAIN STREET MEDIA GROUP,MEDIA & ADS
MAINE TODAY MEDIA,MEDIA & ADS
MAJIC PRODUCTIONS,EVENT EXPENSES
MAJORITY STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
MAL WARWICK & ASSOCIATES,DIRECT MAIL
MALLOY EVENTS,EVENT EXPENSES
MANDATE MEDIA,MEDIA & ADS
MAP POLITICAL COMMUNICATIONS,CAMPAIGN CONSULTING
MARATHON STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
MARK GUMA COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
MARK STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
MARKET PROCESS GROUP,POLITICAL FUNDS & GROUPS
MARKHAM GROUP,LEGAL SERVICES
MARRIOTT HOTELS,TRAVEL & LODGING
MASTER PLAN PRODUCTIONS,CAMPAIGN CONSULTING
MATTERSQUARE,CREDIT CARD PROCESSING FEES
MAVERICK STRATEGIES AND MAIL,FUNDRAISING & FUNDRAISING CONSULTING
MAYBELL GROUP,FUNDRAISING & FUNDRAISING CONSULTING
MBA CONSULTING GROUP,COMPLIANCE SERVICES
MCCARTHY HENNINGS WHALEN INC,MEDIA & ADS
MCCLESKEY MEDIA STRATEGIES,MEDIA & ADS
MCD STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
RONNA R MCDANIEL,REIMBURSEMENT
MCKEAN DEFENSE,OFFICE EXPENSES
MCKENNA MEDIA,MEDIA & ADS
MCLARTY CONSULTING,COMPLIANCE SERVICES
MCLAUGHLIN & ASSOCIATES,POLLING & RESEARCH
KEVIN MCLAUGHLIN,SALARY & PAYROLL
LINDA E MCMAHON,REIMBURSEMENT
MCSHANE,CAMPAIGN CONSULTING
MDI IMAGING,SHIPPING & POSTAGE
MDS COMMUNICATIONS,FUNDRAISING & FUNDRAISING CONSULTING
MDSL,"PR, COMMUNICATIONS, & MARKETING"
MEDIA AD VENTURES,MEDIA & ADS
MEDIA BRIDGE,MEDIA & ADS
MEDIA BUYING & ANALYTICS,MEDIA & ADS
MEDIA FORTITUDE PARTNERS,MEDIA & ADS
MEDIA PLACEMENT SERVICES,MEDIA & ADS
MEDIUM BUYING,MEDIA & ADS
MEETING STREET RESEARCH,POLLING & RESEARCH
MENTZER MEDIA,MEDIA & ADS
MERCURY JETS,TRAVEL & LODGING
MERIDIAN PACIFIC,MEDIA & ADS
MERKLE,DIRECT MAIL
MESSAGE MEDIA,MEDIA & ADS
METHOD CAMPAIGN SERVICES,CAMPAIGN CONSULTING
MIAMI AIR INTERNATIONAL,TRAVEL & LODGING
MICROSOFT,SOFTWARE & TECHNOLOGY
MIDDLE SEAT CONSULTING,DIGITAL & SOCIAL MEDIA CONSULTING
MIGHTYHIVE,DIGITAL ADVERTISING
MILL CREEK STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
MILLENNIAL STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
MILNER BUTCHER MEDIA GROUP,MEDIA & ADS
MINUTEMAN PRESS,PRINTING
MISSION CONTROL,PRINTING
MKZ STRATEGIES & EVENTS,FUNDRAISING & FUNDRAISING CONSULTING
MLT STRATEGIC FUNDRAISING,FUNDRAISING & FUNDRAISING CONSULTING
MLV STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
MM PRODUCTIONS USA,EVENT EXPENSES
MO STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
MOBILE TECHNOLOGY GRAPHICS,SOFTWARE & TECHNOLOGY
MOBILIZE AMERICA (MOBILIZE),SOFTWARE & TECHNOLOGY
MOBILIZE THE MESSAGE,WEBSITE SERVICES
MOBLYZE,DATA & DATABASE SERVICES
MOLLY ALLEN ASSOCIATES LLC,FUNDRAISING & FUNDRAISING CONSULTING
MOORE CAMPAIGNS,PRINTING
MOORE INFORMATION GROUP,POLLING & RESEARCH
MORGAN RYAN,REIMBURSEMENT
MOSAIC MEDIA STRATEGY GROUP,MEDIA & ADS
MOTHERSHIP STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
MOVABLE,"PR, COMMUNICATIONS, & MARKETING"
MOVEON CIVIC ACTION,CREDIT CARD PROCESSING FEES
MOXIE MEDIA,MEDIA & ADS
MPI,EVENT EXPENSES
MR STRATEGIC SERVICES,COMPLIANCE SERVICES
MRB4USA,MEDIA & ADS
MS CAUSEWAY SOLUTIONS,GENERAL OPERATIONS & SUPPLIES
MSCR LLC,"PR, COMMUNICATIONS, & MARKETING"
MSL STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
MULTI MEDIA SERVICES,MEDIA & ADS
MURPHY NASICA & ASSOCIATES,DIGITAL & SOCIAL MEDIA CONSULTING
MUSCO SPORTS LIGHTING,EVENT EXPENSES
MVAR MEDIA,MEDIA & ADS
NADA,SALARY & PAYROLL PROCESSING FEES
NAMES IN THE NEWS,GENERAL OPERATIONS & SUPPLIES
NATIONAL ASSOCIATION OF REALTORS,GENERAL OPERATIONS & SUPPLIES
NATIONAL CABLE COMMUNICATIONS,MEDIA & ADS
NATIONAL CAPITAL TELESERVICES,FUNDRAISING & FUNDRAISING CONSULTING
NATIONAL DEMOCRATIC CLUB,MEALS & CATERING
NATIONAL MEDIA DIGITAL,DIGITAL ADVERTISING
NATIONAL NEWSPAPER PUBLISHERS ASSOCIATION,GENERAL OPERATIONS & SUPPLIES
NATIONAL PARK SERVICE,GENERAL OPERATIONS & SUPPLIES
NATIONAL PUBLIC AFFAIRS,CAMPAIGN CONSULTING
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),POLITICAL FUNDS & GROUPS
NATIONBUILDER,WEBSITE SERVICES
NEED TO IMPEACH,POLITICAL FUNDS & GROUPS
NEIGHBORHOOD RESEARCH AND MEDIA,MEDIA & ADS
NEMACOLIN WOODLANDS RESORT,TRAVEL & LODGING
NEUMANN AND COMPANY,PRINTING
NEW BLUE INTERACTIVE,DIGITAL ADVERTISING
NEW HAMPSHIRE DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
NEW PARTNERS TELESERVICES,"PR, COMMUNICATIONS, & MARKETING"
NEW YORK STATE UNITED TEACHERS,POLITICAL FUNDS & GROUPS
NEWMAN PARTNERS,FUNDRAISING & FUNDRAISING CONSULTING
NEXT LEVEL PARTNERS,COMPLIANCE SERVICES
NEXTGEN CLIMATE ACTION,POLITICAL FUNDS & GROUPS
NEXUS DIRECT,DIRECT MAIL
NATIONAL FEDERATION OF INDEPENDENT BUSINESS (NFIB),POLITICAL FUNDS & GROUPS
NGP VAN,CREDIT CARD PROCESSING FEES
NICKOLAS MARK,SALARY & PAYROLL
NIGHTINGALE PROPERTIES,OFFICE EXPENSES
NK BAUR & ASSOCIATES,COMPLIANCE SERVICES
NM MARKETING,"PR, COMMUNICATIONS, & MARKETING"
NMB RESEARCH,POLLING & RESEARCH
NOISEWORKS MEDIA,MEDIA & ADS
NORFLEET STRATEGIES,CAMPAIGN CONSULTING
NORMINGTON PETTS & ASSOCIATES,POLLING & RESEARCH
NORTH CAROLINA DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
NORTH SHORE PRINTERS,PRINTING
NORTHWEST DIGITAL,WEBSITE SERVICES
NORTHWIND STRATEGIES,TRAVEL & LODGING
NOVA LIST,"PR, COMMUNICATIONS, & MARKETING"
NUMERO,CREDIT CARD PROCESSING FEES
NUNGESSER CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
OASIS OUTSOURCING,"PR, COMMUNICATIONS, & MARKETING"
OBERLAND,MEDIA & ADS
OCCASIONS CATERERS,MEALS & CATERING
OFFICE DEPOT,OFFICE EXPENSES
OFFICE OF TAX AND REVENUE,TAXES
OFFICE RESOURCES,OFFICE EXPENSES
OHIO DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
OHIO REPUBLICAN PARTY,POLITICAL FUNDS & GROUPS
OHIO RIVER SOUTH,CAMPAIGN CONSULTING
OLSON REMCHO,LEGAL SERVICES
OLYMPIC MEDIA,MEDIA & ADS
OMEGA LIST COMPANY,FUNDRAISING & FUNDRAISING CONSULTING
ON MESSAGE,DIGITAL & SOCIAL MEDIA CONSULTING
ONE NATION,LEGAL SERVICES
ONWARD TOGETHER,TRAVEL & LODGING
OORBEEK MEMMOTT GROUP,FUNDRAISING & FUNDRAISING CONSULTING
OPINION INSIGHT,POLLING & RESEARCH
OPN SESAME,DIGITAL ADVERTISING
OPTIMIZE CONSULTING,DIGITAL & SOCIAL MEDIA CONSULTING
OPTIMIZELY,SOFTWARE & TECHNOLOGY
OPTIN STRATEGIES,CAMPAIGN CONSULTING
OTG STRATEGIES,CAMPAIGN CONSULTING
OURSO BEYCHOK,MEDIA & ADS
OUTBRAIN,DIGITAL & SOCIAL MEDIA CONSULTING
OUTVOTE,GENERAL OPERATIONS & SUPPLIES
OXFORD COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
P2P MESSAGING,DIGITAL ADVERTISING
PAC MANAGEMENT SERVICES,ACCOUNTING & FINANCIAL MANAGEMENT
PACIFIC CAMPAIGN HOUSE,MEDIA & ADS
PACIFIC MARKET RESEARCH,POLLING & RESEARCH
PACIFIC POLITICAL,CAMPAIGN CONSULTING
PACIFIC PRINTING,PRINTING
PACTION DATA,DATA & DATABASE SERVICES
PANDORA MEDIA,MEDIA & ADS
PARAGON PAYMENT SOLUTIONS,CREDIT CARD PROCESSING FEES
PARAMOUNT GROUP,LEGAL SERVICES
PARSCALE STRATEGY,DIGITAL & SOCIAL MEDIA CONSULTING
PATRIOT GROUP GLOBAL,COMPLIANCE SERVICES
PATRIOT MARKETING,"PR, COMMUNICATIONS, & MARKETING"
PATRONAGE,LEGAL SERVICES
PATTON DATA PROCESSING,DATA & DATABASE SERVICES
PAUL WEISS RIFKIND WHARTON & GARRISON LLP,CAMPAIGN CONSULTING
PAYCOM,SALARY & PAYROLL PROCESSING FEES
PAYCHEX (FEES),SALARY & PAYROLL PROCESSING FEES
PAYCHEX (PAYROLL TAX),PAYROLL TAX
PAYCHEX (PAYROLL),SALARY & PAYROLL
PAYLOCITY (FEES),SALARY & PAYROLL PROCESSING FEES
PAYLOCITY (PAYROLL TAX),PAYROLL TAX
PAYLOCITY (PAYROLL),SALARY & PAYROLL
PAYPAL,CREDIT CARD PROCESSING FEES
PAYROLL DATA PROCESSING (FEES),SALARY & PAYROLL PROCESSING FEES
PAYROLL DATA PROCESSING (PAYROLL TAX),PAYROLL TAX
PAYROLL DATA PROCESSING (PAYROLL),SALARY & PAYROLL
PAYROLL MANAGEMENT ASSISTANCE,SALARY & PAYROLL PROCESSING FEES
PAYROLL NETWORK (FEES),SALARY & PAYROLL PROCESSING FEES
PAYROLL NETWORK (PAYROLL TAX),PAYROLL TAX
PAYROLL NETWORK (PAYROLL),SALARY & PAYROLL
PC CONNECTION,SOFTWARE & TECHNOLOGY
PC PAYROLL,SALARY & PAYROLL PROCESSING FEES
PCMS LLC,ACCOUNTING & FINANCIAL MANAGEMENT
PDG STRATEGIES,CAMPAIGN CONSULTING
PDQ PRINTING OF LAS VEGAS,PRINTING
PDR RESOURCES,"PR, COMMUNICATIONS, & MARKETING"
PEARSON & ASSOCIATES,FUNDRAISING & FUNDRAISING CONSULTING
PEG PA ENTERTAINMENT GROUP,EVENT EXPENSES
PEM MANAGEMENT,CAMPAIGN CONSULTING
PEOPLE FOR GOVERNMENT PAC,POLITICAL FUNDS & GROUPS
PEOPLE WHO THINK,"PR, COMMUNICATIONS, & MARKETING"
PERKINS COIE,LEGAL SERVICES
PERSON 2 PERSON,FUNDRAISING & FUNDRAISING CONSULTING
PESCADOR PUBLIC STRATEGIES,CAMPAIGN CONSULTING
PFC CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
PG PLACEMENTS,MEDIA & ADS
PINNACLE DIRECT,DIRECT MAIL
PINNACLE LIST COMPANY,CAMPAIGN CONSULTING
PIVOTAL TARGETING,CAMPAIGN CONSULTING
PJC REALTY TRUST,OFFICE EXPENSES
PLANET DIRECT MAIL,DIRECT MAIL
PLANNED PARENTHOOD ACTION FUND,POLITICAL FUNDS & GROUPS
PLATFORM MARKETING,"PR, COMMUNICATIONS, & MARKETING"
PLUVIOUS GROUP,FUNDRAISING & FUNDRAISING CONSULTING
PNC BANK,CREDIT CARD PAYMENT & BANK FEES
POINT1,DIGITAL & SOCIAL MEDIA CONSULTING
POLESTAR,TRAVEL & LODGING
POLICY MARKETING SERVICES,"PR, COMMUNICATIONS, & MARKETING"
POLITICAL COMPLIANCE MANAGEMENT SERVICES,CAMPAIGN CONSULTING
POLITICAL DATA INC,DATA & DATABASE SERVICES
POLITICAL FUNDRAISING GROUP,CAMPAIGN CONSULTING
POLITICAL INK,CAMPAIGN CONSULTING
POLITICAL MARKETING SERVICES,CAMPAIGN CONSULTING
POLITICAL TRAVEL PARTNERS,CAMPAIGN CONSULTING
POLITICAUSE,COMPLIANCE SERVICES
POLITICS & PROSE,GENERAL OPERATIONS & SUPPLIES
POOLHOUSE,MEDIA & ADS
POPPIN INC,OFFICE EXPENSES
PORCHLIGHT BOOK COMPANY,GENERAL OPERATIONS & SUPPLIES
PORTER WRIGHT MORRIS & ARTHUR LLP,CAMPAIGN CONSULTING
POSTAGE FOR DIRECT MAIL FUNDRAISING,DIRECT MAIL
UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),SHIPPING & POSTAGE
POTOMAC WAVES,MEDIA & ADS
PRECISION PAYROLL OF AMERICA,SALARY & PAYROLL PROCESSING FEES
PRECISION STRATEGIES,DIGITAL ADVERTISING
PREFERRED COMMUNICATIONS,OFFICE EXPENSES
PREMIERE TRANSPORTATION,TRAVEL & LODGING
PRESIDIO NETWORKED SOLUTIONS GROUP,SOFTWARE & TECHNOLOGY
PRESTIGE WW INC,"PR, COMMUNICATIONS, & MARKETING"
PRI PRODUCTIONS,MEDIA & ADS
PRIME MEDIA PARTNERS,MEDIA & ADS
PRIMEPAY,SALARY & PAYROLL PROCESSING FEES
PRINT FOR PROGRESS,PRINTING
PRINT MAIL COMMUNICATIONS,DIRECT MAIL
PRISM COMMUNICATIONS,SHIPPING & POSTAGE
PRIVATE JET SERVICES GROUP LLC,TRAVEL & LODGING
PRO PRODUCTION SERVICES,MEDIA & ADS
PRO SPEAKING,FUNDRAISING & FUNDRAISING CONSULTING
PROACTIVE COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
PRODUCTION DESIGN ASSOCIATES,EVENT EXPENSES
PRODUCTION MANAGEMENT ONE,MEDIA & ADS
PROFESSIONAL DATA SERVICES,DATA & DATABASE SERVICES
PROFESSIONAL PRINT & MAIL,PRINTING
PROGRESS PLEASE,POLITICAL FUNDS & GROUPS
PROLIST,PRINTING
PSW RESEARCH,POLLING & RESEARCH
PUBLIC AFFAIRS SUPPORT SERVICES,COMPLIANCE SERVICES
PUBLIC INTEREST COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
PUBLIC OPINION STRATEGIES,POLLING & RESEARCH
PUBLIC POLICY POLLING/RESEARCH,POLLING & RESEARCH
PURCELL CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
PUSH DIGITAL,DIGITAL & SOCIAL MEDIA CONSULTING
PUTNAM PARTNERS,MEDIA & ADS
QTI HUMAN RESOURCES,SALARY & PAYROLL PROCESSING FEES
QUAD SYSTEMS,OFFICE EXPENSES
QUANTUM JETS,TRAVEL & LODGING
QUICKBASE,SOFTWARE & TECHNOLOGY
R3 LLC,SOFTWARE & TECHNOLOGY
RAGNAR RESEARCH PARTNERS,POLLING & RESEARCH
RAINMAKER AD VENTURES,TRAVEL & LODGING
RALSTON LAPP MEDIA,MEDIA & ADS
RANGER INDUSTRIES,GENERAL OPERATIONS & SUPPLIES
RAPID LOOP CONSULTING,COMPLIANCE SERVICES
RAPID RETURNS,DIRECT MAIL
RCBS PAYROLL SERVICES,SALARY & PAYROLL PROCESSING FEES
REACH PROGRESS PBC,SOFTWARE & TECHNOLOGY
REACH RIGHT,WEBSITE SERVICES
REAGAN INVESTMENTS,ACCOUNTING & FINANCIAL MANAGEMENT
RED CURVE SOLUTIONS,COMPLIANCE SERVICES
RED HORSE STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
