STATE,NAME,CATEGORY
ILLINOIS,ILLINOIS HOUSE REPUBLICAN ORGANIZATION,POLITICAL FUNDS & GROUPS
ILLINOIS,ILLINOIS REPUBLICAN PARTY,POLITICAL FUNDS & GROUPS
ILLINOIS,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,POLITICAL FUNDS & GROUPS
ILLINOIS,ILLINOIS DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
ILLINOIS,RAOUL FOR ILLINOIS,POLITICAL FUNDS & GROUPS
ILLINOIS,2K STRATEGIES,CAMPAIGN CONSULTING
ILLINOIS,ILLINOIS ROCK ISLAND COUNTY DEMOCRATIC CENTRAL COMMITTEE,POLITICAL FUNDS & GROUPS
ILLINOIS,ANDREW CUOMO,POLITICAL FUNDS & GROUPS
INDIANA,HOLCOMB FOR INDIANA,POLITICAL FUNDS & GROUPS
INDIANA,INDIANA DEMOCRATIC CONGRESSIONAL VICTORY COMMITTEE,POLITICAL FUNDS & GROUPS
INDIANA,INDIANA DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
INDIANA,INDIANA HOUSE DEMOCRATIC CAUCUS,POLITICAL FUNDS & GROUPS
INDIANA,INDIANA HOUSE REPUBLICAN CAMPAIGN COMMITTEE (HRCC),POLITICAL FUNDS & GROUPS
INDIANA,INDIANA REPUBLICAN PARTY,POLITICAL FUNDS & GROUPS
INDIANA,INDIANA REPUBLICAN STATE CENTRAL COMMITTEE,POLITICAL FUNDS & GROUPS
INDIANA,INDIANA REPUBLICAN STATE COMMITTEE,POLITICAL FUNDS & GROUPS
INDIANA,INDIANA SENATE MAJORITY CAMPAIGN COMMITTEE,POLITICAL FUNDS & GROUPS
INDIANA,WEINZAPFEL FOR INDIANA,POLITICAL FUNDS & GROUPS
IOWA,IOWA DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
IOWA,CARTER PRINTING,PRINTING
IOWA,AFSCME IOWA COUNCIL 61,POLITICAL FUNDS & GROUPS
IOWA,HUBBELL FOR GOVERNOR,POLITICAL FUNDS & GROUPS
KANSAS,KANSAS DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
KANSAS,KANSAS DEPARTMENT OF REVENUE,TAXES
